Orthogroup	homeo_ofus	homeo_lgig
OG0000070	A0A8S4P1Z9_OWEFU, A0A8J1TXW6_OWEFU	V3ZEA7_LOTGI
OG0000071	A0A8J1Y043_OWEFU	V4APN7_LOTGI
OG0000072	A0A8J1TPC4_OWEFU, A0A8S4N1D9_OWEFU	V3ZS89_LOTGI
OG0000073	A0A8J1XJI6_OWEFU	V3ZY21_LOTGI
OG0000074	A0A8J1Y3X5_OWEFU	V4CJP9_LOTGI
OG0000075	A0A8J1XWL1_OWEFU	V4A086_LOTGI
OG0000076	A0A8J1XHX7_OWEFU, A0A8S4NQ05_OWEFU	V4AQ81_LOTGI
OG0000077	A0A8S4N0Y2_OWEFU, A0A8J1U7C5_OWEFU	V4BFC9_LOTGI
OG0000078	A0A8J1TWH5_OWEFU	V3ZXQ0_LOTGI
OG0000079	A0A2I6QBN1_OWEFU	V4C954_LOTGI
OG0000080	A0A8J1XVX0_OWEFU	V4A4Z2_LOTGI
OG0000082	A0A8J1UJ17_OWEFU	V3ZWV3_LOTGI
OG0000083	A0A8J1T6P4_OWEFU	V4AT90_LOTGI
OG0000085	A0A8J1U389_OWEFU	V3Z9S3_LOTGI
OG0000086	A0A8J1T4R4_OWEFU	V4BGK7_LOTGI, V4BZH1_LOTGI, V4A810_LOTGI, V4AS00_LOTGI, V4AHV5_LOTGI
OG0000090	A0A8J1TXV8_OWEFU	V4BLG5_LOTGI
OG0000094	A0A8J1TQ83_OWEFU, A0A8S4N2S6_OWEFU	V4ART4_LOTGI
OG0000105	A0A8J1XFE5_OWEFU, A0A8S4NSZ1_OWEFU	V4B8H7_LOTGI
