Orthogroup	homeo_ofus	homeo_mcor
OG0000068	A0A8J1UAL6_OWEFU	A0A6J8EUF3_MYTCO
OG0000069	A0A8J1U9G2_OWEFU	A0A6J8DU24_MYTCO
OG0000070	A0A8S4P1Z9_OWEFU, A0A8J1TXW6_OWEFU	A0A6J8CAG2_MYTCO
OG0000071	A0A8J1Y043_OWEFU	A0A6J8E6J6_MYTCO
OG0000072	A0A8J1TPC4_OWEFU, A0A8S4N1D9_OWEFU	A0A6J8CGL6_MYTCO
OG0000073	A0A8J1XJI6_OWEFU	A0A6J8D4P7_MYTCO
OG0000074	A0A8J1Y3X5_OWEFU	A0A6J8DNQ5_MYTCO
OG0000075	A0A8J1XWL1_OWEFU	A0A6J8D1U8_MYTCO
OG0000076	A0A8J1XHX7_OWEFU, A0A8S4NQ05_OWEFU	A0A6J8EZB9_MYTCO
OG0000077	A0A8S4N0Y2_OWEFU, A0A8J1U7C5_OWEFU	A0A6J8B0V2_MYTCO
OG0000078	A0A8J1TWH5_OWEFU	A0A6J8C5Y5_MYTCO
OG0000079	A0A2I6QBN1_OWEFU	A0A6J8EFG0_MYTCO, A0A6J8ECG1_MYTCO
OG0000080	A0A8J1XVX0_OWEFU	A0A6J8C7H5_MYTCO
OG0000082	A0A8J1UJ17_OWEFU	A0A6J8D1Q7_MYTCO
OG0000083	A0A8J1T6P4_OWEFU	A0A6J8EYX5_MYTCO
OG0000084	A0A8J1UTM8_OWEFU	A0A6J8D9V9_MYTCO
OG0000085	A0A8J1U389_OWEFU	A0A6J8CP64_MYTCO
OG0000090	A0A8J1TXV8_OWEFU	A0A6J8BXD5_MYTCO
OG0000092	A0A8J1UC05_OWEFU, A0A8S4N0Q0_OWEFU	A0A6J8E8B0_MYTCO
OG0000106	A0A8J1U6N6_OWEFU	A0A6J8D230_MYTCO
