Orthogroup	homeo_ofus	homeo_ctel
OG0000015	A0A8J1XFN8_OWEFU, A0A2I6QBP3_OWEFU, A0A2I6QBN9_OWEFU	R7T846_CAPTE, R7TFH5_CAPTE
OG0000016	A0A8J1UHP7_OWEFU, A0A8J1UEH4_OWEFU, A0A8J1Y336_OWEFU	R7UF46_CAPTE
OG0000017	A0A8J1U832_OWEFU	R7TLA4_CAPTE, B6RFX6_CAPTE
OG0000020	A0A8J1T614_OWEFU	R7TTR6_CAPTE, C4MK41_CAPTE, R7TT53_CAPTE
OG0000021	A0A8S4P241_OWEFU, A0A8J1XWF8_OWEFU	R7TTU8_CAPTE, R7U050_CAPTE
OG0000022	A0A8J1TZ61_OWEFU	R7TPZ8_CAPTE
OG0000023	A0A8J1Y3W8_OWEFU, A0A8J1UKC6_OWEFU, A0A8J1UHF5_OWEFU, A0A8S4P263_OWEFU, A0A8J1UG53_OWEFU	R7VCA4_CAPTE
OG0000024	A0A8J1UDK6_OWEFU, A0A8J1UDF1_OWEFU, A0A8S4MYZ0_OWEFU, A0A8J1U9I4_OWEFU	B6RFY1_CAPTE, R7UM68_CAPTE
OG0000025	A0A8J1XR59_OWEFU	R7UVI0_CAPTE, R7UP28_CAPTE
OG0000026	A0A8J1UI38_OWEFU	R7UC46_CAPTE
OG0000031	A0A8J1TXC5_OWEFU, A0A8J1XUY2_OWEFU, A0A8J1TVW9_OWEFU	R7TFZ7_CAPTE
OG0000032	A0A8J1UPA1_OWEFU, A0A166GC00_OWEFU, A0A8J1UL28_OWEFU	R7TUB2_CAPTE
OG0000033	A0A8J1T993_OWEFU, A0A8S4NPX3_OWEFU	C4MLF0_CAPTE, R7T8C3_CAPTE, R7T4E3_CAPTE
OG0000034	A0A8J1T830_OWEFU, A0A8J1T7B9_OWEFU	C4MLF3_CAPTE, R7UCX5_CAPTE
OG0000035	A0A8S4P1L7_OWEFU, A0A8J1XVI0_OWEFU	R7UAK3_CAPTE, R7U2Q3_CAPTE, R7UAU5_CAPTE
OG0000036	A0A8J1TLL2_OWEFU, A0A8J1XNQ9_OWEFU	R7UAG0_CAPTE, R7U2A3_CAPTE
OG0000037	A0A8S4PRS0_OWEFU, A0A8J1TZ22_OWEFU	R7UTJ6_CAPTE
OG0000038	A0A8J1TIC1_OWEFU	R7TQQ6_CAPTE
OG0000040	A0A8J1U2Q5_OWEFU, A0A165USH4_OWEFU	R7TU37_CAPTE
OG0000041	A0A8J1TUD3_OWEFU	R7TL21_CAPTE
OG0000042	A0A8J1XEH4_OWEFU, A0A8J1T6R3_OWEFU	R7TD58_CAPTE, C4MK42_CAPTE
OG0000044	A0A8S4PLQ3_OWEFU, A0A8J1UNW8_OWEFU	R7T4R6_CAPTE
OG0000045	A0A8J1XM42_OWEFU, A0A165USC6_OWEFU	R7TXI6_CAPTE, Q2FBJ0_CAPTE
OG0000046	A0A8J1U8H8_OWEFU	R7TK21_CAPTE, B6RFX4_CAPTE
OG0000047	A0A8J1U9N6_OWEFU	R7TDU3_CAPTE, B6RFX5_CAPTE, R7TDR5_CAPTE
OG0000048	A0A165US97_OWEFU	C4MK37_CAPTE, R7TY93_CAPTE
OG0000049	A0A8J1XHJ6_OWEFU, A0A8S4NSB6_OWEFU	R7U019_CAPTE
OG0000050	A0A8J1TJB3_OWEFU	Q2FBI9_CAPTE, R7U4M8_CAPTE, R7V8P0_CAPTE
OG0000051	A0A8J1XQF8_OWEFU, A0A8S4N0G9_OWEFU	R7UP51_CAPTE
OG0000052	A0A8J1T5Z3_OWEFU	R7TCH5_CAPTE, C4MLF2_CAPTE
OG0000053	A0A8J1XFX1_OWEFU	C4MLF1_CAPTE, R7TTZ4_CAPTE
OG0000054	A0A8J1TND9_OWEFU	R7UMJ1_CAPTE
OG0000056	A0A8S4N570_OWEFU, A0A8J1TQI2_OWEFU	R7UAI4_CAPTE, B6RFY2_CAPTE
OG0000057	A0A8J1UAP0_OWEFU	R7TGN1_CAPTE, R7TGD7_CAPTE
OG0000058	A0A8J1UWG1_OWEFU	R7UC57_CAPTE
OG0000059	A0A8J1XPH2_OWEFU, A0A2I6EEG1_OWEFU, A0A8S4N1Q5_OWEFU	R7UNJ2_CAPTE
OG0000060	A0A8J1T4B5_OWEFU	R7ULI7_CAPTE
OG0000060	A0A8J1XFR7_OWEFU	R7UDF2_CAPTE, C4MK43_CAPTE
OG0000061	A0A8S4PTX5_OWEFU, A0A8J1TXI9_OWEFU	R7TJG0_CAPTE
OG0000062	A0A8J1UKY0_OWEFU	R7UN60_CAPTE
OG0000062	A0A8J1Y520_OWEFU	R7UWA1_CAPTE
OG0000063	A0A8S4PD62_OWEFU, A0A8J1UM84_OWEFU	R7TI74_CAPTE, R7VCX8_CAPTE
OG0000064	A0A8J1TVS4_OWEFU	Q09VU4_CAPTE, R7TJF1_CAPTE
OG0000065	A0A8J1Y2F5_OWEFU, A0A8S4NKP5_OWEFU	R7UAJ4_CAPTE
OG0000066	A0A8J1TJ83_OWEFU	Q2FA45_CAPTE, R7TBA9_CAPTE
OG0000067	A0A8J1Y1U3_OWEFU	R7TLA0_CAPTE, B6RFX3_CAPTE
OG0000068	A0A8J1UAL6_OWEFU	B6RFX7_CAPTE, R7TK28_CAPTE
OG0000069	A0A8J1U9G2_OWEFU	R7UDP9_CAPTE
OG0000070	A0A8S4P1Z9_OWEFU, A0A8J1TXW6_OWEFU	R7TC57_CAPTE
OG0000071	A0A8J1Y043_OWEFU	R7TTE4_CAPTE
OG0000072	A0A8J1TPC4_OWEFU, A0A8S4N1D9_OWEFU	R7UX36_CAPTE, R7TQE4_CAPTE, R7UP44_CAPTE
OG0000073	A0A8J1XJI6_OWEFU	R7UK02_CAPTE
OG0000074	A0A8J1Y3X5_OWEFU	R7VJ71_CAPTE
OG0000075	A0A8J1XWL1_OWEFU	R7TRL6_CAPTE
OG0000076	A0A8J1XHX7_OWEFU, A0A8S4NQ05_OWEFU	R7U6M3_CAPTE
OG0000077	A0A8S4N0Y2_OWEFU, A0A8J1U7C5_OWEFU	R7UUL8_CAPTE
OG0000078	A0A8J1TWH5_OWEFU	R7UZM9_CAPTE
OG0000079	A0A2I6QBN1_OWEFU	C4MLE9_CAPTE
OG0000080	A0A8J1XVX0_OWEFU	R7V240_CAPTE
OG0000082	A0A8J1UJ17_OWEFU	R7VCI3_CAPTE
OG0000083	A0A8J1T6P4_OWEFU	R7TD78_CAPTE
OG0000084	A0A8J1UTM8_OWEFU	R7VEW7_CAPTE, R7UQR4_CAPTE
OG0000085	A0A8J1U389_OWEFU	R7T959_CAPTE
OG0000090	A0A8J1TXV8_OWEFU	R7TS59_CAPTE
OG0000091	A0A8S4P2N0_OWEFU, A0A8J1TZD7_OWEFU, A0A8J1TY39_OWEFU	R7VFF9_CAPTE
OG0000094	A0A8J1TQ83_OWEFU, A0A8S4N2S6_OWEFU	R7UVH4_CAPTE
OG0000108	A0A8J1URX5_OWEFU	N1PB35_CAPTE
