Orthogroup	homeo_ofus	homeo_cgig
OG0000011	A0A165US84_OWEFU	K1PAC6_CRAGI, A0A8W8NHM8_CRAGI, A0A8W8NPX1_CRAGI
OG0000012	A0A8J1TNT9_OWEFU, A0A8S4N3Y9_OWEFU	A0A8W8N8Z0_CRAGI, K1PNG1_CRAGI, K1PW38_CRAGI
OG0000013	A0A8J1UD53_OWEFU	A0A8W8N110_CRAGI, A0A8W8N1L7_CRAGI, K1RHX0_CRAGI, A0A8W8N1L2_CRAGI
OG0000014	A0A8J1XXX6_OWEFU, A0A2I6QBN3_OWEFU, A0A8J1XW66_OWEFU, A0A8J1U7M4_OWEFU	K1QCU1_CRAGI, A0A8W8I780_CRAGI, A0A8W8I5P7_CRAGI
OG0000015	A0A8J1XFN8_OWEFU, A0A2I6QBP3_OWEFU, A0A2I6QBN9_OWEFU	A0A8W8IY98_CRAGI, K1QPR6_CRAGI, A0A8W8J181_CRAGI, A0A8W8IZU2_CRAGI, A0A8W8J275_CRAGI
OG0000016	A0A8J1UHP7_OWEFU, A0A8J1UEH4_OWEFU	A0A8W8LHX8_CRAGI, K1RE41_CRAGI, A0A8W8LGC0_CRAGI, A0A8W8LMC2_CRAGI
OG0000017	A0A8J1U832_OWEFU	A0A8W8MTV1_CRAGI, A0A8W8MYP5_CRAGI, A0A8W8N1I9_CRAGI, K1QFQ3_CRAGI, A0A8W8N4T0_CRAGI, A0A8W8MYP1_CRAGI, A0A8W8N4S5_CRAGI, A0A8W8N4T5_CRAGI
OG0000020	A0A8J1T614_OWEFU	K1QLY6_CRAGI, A0A8W8IV11_CRAGI, A0A8W8ITK7_CRAGI, A0A8W8IVV5_CRAGI, A0A8W8ITN2_CRAGI, A0A8W8IX86_CRAGI
OG0000021	A0A8S4P241_OWEFU, A0A8J1XWF8_OWEFU	A0A8W8KZY7_CRAGI, K1PZT1_CRAGI, A0A8W8KUA3_CRAGI, A0A8W8KU68_CRAGI
OG0000022	A0A8J1TZ61_OWEFU	K1R6C9_CRAGI, A0A8W8LDK7_CRAGI, K1R014_CRAGI, A0A8W8LJK1_CRAGI, A0A8W8LF54_CRAGI
OG0000023	A0A8J1Y3W8_OWEFU, A0A8J1UKC6_OWEFU, A0A8J1UHF5_OWEFU, A0A8S4P263_OWEFU, A0A8J1UG53_OWEFU	K1RMV0_CRAGI, A0A8W8MC14_CRAGI
OG0000024	A0A8J1UDK6_OWEFU, A0A8J1UDF1_OWEFU, A0A8S4MYZ0_OWEFU, A0A8J1U9I4_OWEFU	A0A8W8MYT7_CRAGI, A0A8W8N1P2_CRAGI, K1PZI6_CRAGI
OG0000025	A0A8J1XR59_OWEFU	A0A8W8NBC0_CRAGI, A0A8W8NE43_CRAGI, A0A8W8NIK3_CRAGI, A0A8W8NEB1_CRAGI, K1PYG5_CRAGI
OG0000026	A0A8J1UI38_OWEFU	A0A8W8L5Z7_CRAGI, A0A8W8L9G2_CRAGI, K1R684_CRAGI, A0A8W8L5E0_CRAGI, A0A8W8L493_CRAGI, A0A8W8L9F6_CRAGI, A0A8W8L3M1_CRAGI
OG0000027	A0A8J1XPB1_OWEFU, A0A8J1XMG3_OWEFU, A0A8S4MZR0_OWEFU, A0A8S4N056_OWEFU, A0A8S4N103_OWEFU, A0A8J1XPS3_OWEFU, A0A8S4N1A7_OWEFU	A0A8W8N5P0_CRAGI
OG0000030	A0A8J1TIQ6_OWEFU, A0A8S4Q4Y5_OWEFU	K1QXI0_CRAGI, A0A8W8KA18_CRAGI
OG0000031	A0A8J1TXC5_OWEFU, A0A8J1XUY2_OWEFU, A0A8J1TVW9_OWEFU	A0A8W8HLC1_CRAGI
OG0000032	A0A8J1UPA1_OWEFU, A0A166GC00_OWEFU, A0A8J1UL28_OWEFU	K1PV30_CRAGI, A0A8W8I6I3_CRAGI
OG0000033	A0A8J1T993_OWEFU, A0A8S4NPX3_OWEFU	K1QM31_CRAGI, A0A8W8IS98_CRAGI, A0A8W8IS94_CRAGI
OG0000034	A0A8J1T830_OWEFU, A0A8J1T7B9_OWEFU	K1PJ20_CRAGI, A0A8W8J227_CRAGI, A0A8W8IYA2_CRAGI
OG0000035	A0A8S4P1L7_OWEFU, A0A8J1XVI0_OWEFU	K1RII0_CRAGI, A0A8W8K4L4_CRAGI, K1RU62_CRAGI, A0A8W8LA92_CRAGI
OG0000037	A0A8S4PRS0_OWEFU, A0A8J1TZ22_OWEFU	A0A8W8KL69_CRAGI, A0A8W8KM51_CRAGI, K1PV68_CRAGI
OG0000038	A0A8J1TIC1_OWEFU	A0A8W8KQE1_CRAGI, A0A8W8KN59_CRAGI, A0A8W8KQD6_CRAGI, A0A8W8KN12_CRAGI, A0A8W8KN17_CRAGI, K1QAT6_CRAGI
OG0000040	A0A8J1U2Q5_OWEFU, A0A165USH4_OWEFU	A0A8W8HPX3_CRAGI, A0A8W8HQ61_CRAGI, K1P7N7_CRAGI, K1R5Y2_CRAGI
OG0000041	A0A8J1TUD3_OWEFU	A0A8W8ICU4_CRAGI, A0A8W8IBC2_CRAGI, A0A8W8IBB7_CRAGI, K1QVP2_CRAGI, A0A8W8IBB5_CRAGI, A0A8W8ICT9_CRAGI
OG0000042	A0A8J1XEH4_OWEFU	A0A8W8IG58_CRAGI, K1RAP6_CRAGI
OG0000043	A0A8J1Y7V5_OWEFU	K1QV62_CRAGI, A0A8W8JWV0_CRAGI
OG0000044	A0A8S4PLQ3_OWEFU, A0A8J1UNW8_OWEFU	A0A8W8K987_CRAGI, A0A8W8K5L3_CRAGI, A0A8W8K5F1_CRAGI, K1QCX7_CRAGI
OG0000045	A0A8J1XM42_OWEFU, A0A165USC6_OWEFU	K1QXA8_CRAGI, A0A8W8KX35_CRAGI
OG0000046	A0A8J1U8H8_OWEFU	A0A8W8N1H0_CRAGI, A0A8W8MTT5_CRAGI, A0A8W8N4R1_CRAGI, K1QFQ0_CRAGI, A0A8W8MYN2_CRAGI
OG0000047	A0A8J1U9N6_OWEFU	A0A8W8MYN7_CRAGI, K1QNR4_CRAGI
OG0000048	A0A165US97_OWEFU	K1R0H9_CRAGI, A0A8W8HU29_CRAGI, A0A8W8HTU2_CRAGI
OG0000049	A0A8J1XHJ6_OWEFU, A0A8S4NSB6_OWEFU	K1R770_CRAGI, A0A8W8IXU5_CRAGI
OG0000050	A0A8J1TJB3_OWEFU	A0A8W8L5S3_CRAGI, A0A8W8L1U9_CRAGI
OG0000051	A0A8J1XQF8_OWEFU, A0A8S4N0G9_OWEFU	A0A8W8N621_CRAGI, A0A8W8MXX7_CRAGI, K1QDG5_CRAGI
OG0000052	A0A8J1T5Z3_OWEFU	A0A8W8IPJ6_CRAGI, K1PPR5_CRAGI
OG0000053	A0A8J1XFX1_OWEFU	K1R041_CRAGI, A0A8W8IW65_CRAGI
OG0000054	A0A8J1TND9_OWEFU	A0A8W8K796_CRAGI, K1QIJ6_CRAGI, A0A8W8K4K0_CRAGI, A0A8W8KAS8_CRAGI
OG0000056	A0A8S4N570_OWEFU, A0A8J1TQI2_OWEFU	K1QEU8_CRAGI, A0A8W8MTZ3_CRAGI, A0A8W8MTY9_CRAGI
OG0000057	A0A8J1UAP0_OWEFU	A0A8W8MW41_CRAGI, K1PP90_CRAGI
OG0000058	A0A8J1UWG1_OWEFU	A0A8W8N9G9_CRAGI, K1Q1H4_CRAGI
OG0000059	A0A8J1XPH2_OWEFU, A0A2I6EEG1_OWEFU, A0A8S4N1Q5_OWEFU	A0A8W8NAJ6_CRAGI, K1RC49_CRAGI
OG0000060	A0A8J1XFR7_OWEFU	K1QS55_CRAGI
OG0000061	A0A8S4PTX5_OWEFU, A0A8J1TXI9_OWEFU	K1QXF3_CRAGI
OG0000062	A0A8J1Y520_OWEFU	K1P5F1_CRAGI, A0A8W8I834_CRAGI
OG0000063	A0A8S4PD62_OWEFU, A0A8J1UM84_OWEFU	K1PGT0_CRAGI, A0A8W8HTT0_CRAGI
OG0000064	A0A8J1TVS4_OWEFU	K1Q8M9_CRAGI, A0A8W8IBX2_CRAGI, A0A8W8IBQ2_CRAGI
OG0000065	A0A8J1Y2F5_OWEFU, A0A8S4NKP5_OWEFU	A0A8W8IQU2_CRAGI, A0A8W8IPI1_CRAGI, K1R7X3_CRAGI
OG0000066	A0A8J1TJ83_OWEFU	A0A8W8L000_CRAGI, K1PVZ4_CRAGI
OG0000067	A0A8J1Y1U3_OWEFU	K1QUT3_CRAGI, A0A8W8MTT0_CRAGI
OG0000068	A0A8J1UAL6_OWEFU	A0A8W8N0Z8_CRAGI, A0A8W8N1K7_CRAGI, K1QNR8_CRAGI
OG0000069	A0A8J1U9G2_OWEFU	A0A8W8N8W3_CRAGI, K1PW35_CRAGI
OG0000070	A0A8S4P1Z9_OWEFU, A0A8J1TXW6_OWEFU	A0A8W8NM07_CRAGI, K1Q0E3_CRAGI
OG0000071	A0A8J1Y043_OWEFU	K1RYX0_CRAGI, A0A8W8NNK0_CRAGI
OG0000072	A0A8J1TPC4_OWEFU, A0A8S4N1D9_OWEFU	K1Q149_CRAGI
OG0000073	A0A8J1XJI6_OWEFU	K1QS33_CRAGI
OG0000074	A0A8J1Y3X5_OWEFU	K1QUN5_CRAGI
OG0000075	A0A8J1XWL1_OWEFU	K1QKW3_CRAGI, A0A8W8HZU1_CRAGI
OG0000076	A0A8J1XHX7_OWEFU, A0A8S4NQ05_OWEFU	A0A8W8IWN5_CRAGI, K1QYJ1_CRAGI
OG0000077	A0A8S4N0Y2_OWEFU, A0A8J1U7C5_OWEFU	A0A8W8JP77_CRAGI, K1QTQ2_CRAGI
OG0000078	A0A8J1TWH5_OWEFU	A0A8W8KP93_CRAGI, K1PLG8_CRAGI
OG0000079	A0A2I6QBN1_OWEFU	K1RMM1_CRAGI
OG0000080	A0A8J1XVX0_OWEFU	K1RSM0_CRAGI
OG0000082	A0A8J1UJ17_OWEFU	A0A8W8I7D4_CRAGI, K1RD84_CRAGI
OG0000083	A0A8J1T6P4_OWEFU	K1QCD7_CRAGI, A0A8W8IUX3_CRAGI
OG0000084	A0A8J1UTM8_OWEFU	K1PG94_CRAGI, A0A8W8KE56_CRAGI
OG0000085	A0A8J1U389_OWEFU	K1P9C1_CRAGI
OG0000090	A0A8J1TXV8_OWEFU	A0A8W8KTQ1_CRAGI
OG0000091	A0A8S4P2N0_OWEFU, A0A8J1TZD7_OWEFU, A0A8J1TY39_OWEFU	A0A8W8KUY9_CRAGI
OG0000092	A0A8J1UC05_OWEFU, A0A8S4N0Q0_OWEFU	K1RFS1_CRAGI, A0A8W8MYI0_CRAGI
OG0000098	A0A8S4NCI8_OWEFU	A0A8W8IYY1_CRAGI, K1PRV1_CRAGI
