Orthogroup	homeo_cgig	homeo_ctel
OG0000015	A0A8W8IY98_CRAGI, K1QPR6_CRAGI, A0A8W8J181_CRAGI, A0A8W8IZU2_CRAGI, A0A8W8J275_CRAGI	R7T846_CAPTE, R7TFH5_CAPTE
OG0000016	A0A8W8LHX8_CRAGI, K1RE41_CRAGI, A0A8W8LGC0_CRAGI, A0A8W8LMC2_CRAGI	R7UF46_CAPTE
OG0000017	A0A8W8MTV1_CRAGI, A0A8W8MYP5_CRAGI, A0A8W8N1I9_CRAGI, K1QFQ3_CRAGI, A0A8W8N4T0_CRAGI, A0A8W8MYP1_CRAGI, A0A8W8N4S5_CRAGI, A0A8W8N4T5_CRAGI	R7TLA4_CAPTE, B6RFX6_CAPTE
OG0000020	K1QLY6_CRAGI, A0A8W8IV11_CRAGI, A0A8W8ITK7_CRAGI, A0A8W8IVV5_CRAGI, A0A8W8ITN2_CRAGI, A0A8W8IX86_CRAGI	R7TTR6_CAPTE, C4MK41_CAPTE, R7TT53_CAPTE
OG0000021	A0A8W8KZY7_CRAGI, K1PZT1_CRAGI, A0A8W8KUA3_CRAGI, A0A8W8KU68_CRAGI	R7TTU8_CAPTE, R7U050_CAPTE
OG0000022	K1R6C9_CRAGI, A0A8W8LDK7_CRAGI, K1R014_CRAGI, A0A8W8LJK1_CRAGI, A0A8W8LF54_CRAGI	R7TPZ8_CAPTE
OG0000023	K1RMV0_CRAGI, A0A8W8MC14_CRAGI	R7VCA4_CAPTE
OG0000024	A0A8W8MYT7_CRAGI, A0A8W8N1P2_CRAGI, K1PZI6_CRAGI	B6RFY1_CAPTE, R7UM68_CAPTE
OG0000025	A0A8W8NBC0_CRAGI, A0A8W8NE43_CRAGI, A0A8W8NIK3_CRAGI, A0A8W8NEB1_CRAGI, K1PYG5_CRAGI	R7UVI0_CAPTE, R7UP28_CAPTE
OG0000026	A0A8W8L5Z7_CRAGI, A0A8W8L9G2_CRAGI, K1R684_CRAGI, A0A8W8L5E0_CRAGI, A0A8W8L493_CRAGI, A0A8W8L9F6_CRAGI, A0A8W8L3M1_CRAGI	R7UC46_CAPTE
OG0000029	K1R911_CRAGI, K1QZ17_CRAGI, K1R7U8_CRAGI	R7TZ85_CAPTE, R7TQQ8_CAPTE, R7U1J4_CAPTE, R7UX02_CAPTE
OG0000031	A0A8W8HLC1_CRAGI	R7TFZ7_CAPTE
OG0000032	K1PV30_CRAGI, A0A8W8I6I3_CRAGI	R7TUB2_CAPTE
OG0000033	K1QM31_CRAGI, A0A8W8IS98_CRAGI, A0A8W8IS94_CRAGI	C4MLF0_CAPTE, R7T8C3_CAPTE
OG0000034	K1PJ20_CRAGI, A0A8W8J227_CRAGI, A0A8W8IYA2_CRAGI	C4MLF3_CAPTE, R7UCX5_CAPTE
OG0000035	K1RII0_CRAGI, A0A8W8K4L4_CRAGI, K1RU62_CRAGI, A0A8W8LA92_CRAGI	R7UAK3_CAPTE, R7U2Q3_CAPTE, R7UAU5_CAPTE
OG0000037	A0A8W8KL69_CRAGI, A0A8W8KM51_CRAGI, K1PV68_CRAGI	R7UTJ6_CAPTE
OG0000038	A0A8W8KQE1_CRAGI, A0A8W8KN59_CRAGI, A0A8W8KQD6_CRAGI, A0A8W8KN12_CRAGI, A0A8W8KN17_CRAGI, K1QAT6_CRAGI	R7TQQ6_CAPTE
OG0000040	A0A8W8HPX3_CRAGI, A0A8W8HQ61_CRAGI, K1P7N7_CRAGI, K1R5Y2_CRAGI	R7TU37_CAPTE
OG0000041	A0A8W8ICU4_CRAGI, A0A8W8IBC2_CRAGI, A0A8W8IBB7_CRAGI, K1QVP2_CRAGI, A0A8W8IBB5_CRAGI, A0A8W8ICT9_CRAGI	R7TL21_CAPTE
OG0000042	A0A8W8IG58_CRAGI, K1RAP6_CRAGI	R7TD58_CAPTE, C4MK42_CAPTE
OG0000043	A0A8W8K0G0_CRAGI, A0A8W8JWH0_CRAGI, K1Q9D5_CRAGI	X1ZZA7_CAPTE
OG0000044	A0A8W8K987_CRAGI, A0A8W8K5L3_CRAGI, A0A8W8K5F1_CRAGI, K1QCX7_CRAGI	R7T4R6_CAPTE
OG0000045	K1QXA8_CRAGI, A0A8W8KX35_CRAGI	R7TXI6_CAPTE, Q2FBJ0_CAPTE
OG0000046	A0A8W8N1H0_CRAGI, A0A8W8MTT5_CRAGI, A0A8W8N4R1_CRAGI, K1QFQ0_CRAGI, A0A8W8MYN2_CRAGI	R7TK21_CAPTE, B6RFX4_CAPTE
OG0000047	A0A8W8MYN7_CRAGI, K1QNR4_CRAGI	R7TDU3_CAPTE, B6RFX5_CAPTE, R7TDR5_CAPTE
OG0000048	K1R0H9_CRAGI, A0A8W8HU29_CRAGI, A0A8W8HTU2_CRAGI	C4MK37_CAPTE, R7TY93_CAPTE
OG0000049	K1R770_CRAGI, A0A8W8IXU5_CRAGI	R7U019_CAPTE
OG0000050	A0A8W8L5S3_CRAGI, A0A8W8L1U9_CRAGI, K1PGW7_CRAGI	Q2FBI9_CAPTE, R7U4M8_CAPTE, R7V8P0_CAPTE
OG0000051	A0A8W8N621_CRAGI, A0A8W8MXX7_CRAGI, K1QDG5_CRAGI	R7UP51_CAPTE
OG0000052	A0A8W8IPJ6_CRAGI, K1PPR5_CRAGI	R7TCH5_CAPTE, C4MLF2_CAPTE
OG0000053	K1R041_CRAGI, A0A8W8IW65_CRAGI	C4MLF1_CAPTE, R7TTZ4_CAPTE
OG0000054	A0A8W8K796_CRAGI, K1QIJ6_CRAGI, A0A8W8K4K0_CRAGI, A0A8W8KAS8_CRAGI	R7UMJ1_CAPTE
OG0000056	K1QEU8_CRAGI, A0A8W8MTZ3_CRAGI, A0A8W8MTY9_CRAGI	R7UAI4_CAPTE, B6RFY2_CAPTE
OG0000057	A0A8W8MW41_CRAGI, K1PP90_CRAGI	R7TGN1_CAPTE, R7TGD7_CAPTE
OG0000058	A0A8W8N9G9_CRAGI, K1Q1H4_CRAGI	R7UC57_CAPTE
OG0000059	A0A8W8NAJ6_CRAGI, K1RC49_CRAGI	R7UNJ2_CAPTE
OG0000060	K1QS55_CRAGI	R7UDF2_CAPTE, C4MK43_CAPTE
OG0000061	K1QXF3_CRAGI	R7TJG0_CAPTE
OG0000062	K1P5F1_CRAGI, A0A8W8I834_CRAGI	R7UWA1_CAPTE
OG0000063	K1PGT0_CRAGI, A0A8W8HTT0_CRAGI	R7TI74_CAPTE, R7VCX8_CAPTE
OG0000064	K1Q8M9_CRAGI, A0A8W8IBX2_CRAGI, A0A8W8IBQ2_CRAGI	Q09VU4_CAPTE, R7TJF1_CAPTE
OG0000065	A0A8W8IQU2_CRAGI, A0A8W8IPI1_CRAGI, K1R7X3_CRAGI	R7UAJ4_CAPTE
OG0000066	A0A8W8L000_CRAGI, K1PVZ4_CRAGI	Q2FA45_CAPTE, R7TBA9_CAPTE
OG0000067	K1QUT3_CRAGI, A0A8W8MTT0_CRAGI	R7TLA0_CAPTE, B6RFX3_CAPTE
OG0000068	A0A8W8N0Z8_CRAGI, A0A8W8N1K7_CRAGI, K1QNR8_CRAGI	B6RFX7_CAPTE, R7TK28_CAPTE
OG0000069	A0A8W8N8W3_CRAGI, K1PW35_CRAGI	R7UDP9_CAPTE
OG0000070	A0A8W8NM07_CRAGI, K1Q0E3_CRAGI	R7TC57_CAPTE
OG0000071	K1RYX0_CRAGI, A0A8W8NNK0_CRAGI	R7TTE4_CAPTE
OG0000072	K1Q149_CRAGI	R7UX36_CAPTE, R7TQE4_CAPTE, R7UP44_CAPTE
OG0000073	K1QS33_CRAGI	R7UK02_CAPTE
OG0000074	K1QUN5_CRAGI	R7VJ71_CAPTE
OG0000075	K1QKW3_CRAGI, A0A8W8HZU1_CRAGI	R7TRL6_CAPTE
OG0000076	A0A8W8IWN5_CRAGI, K1QYJ1_CRAGI	R7U6M3_CAPTE
OG0000077	A0A8W8JP77_CRAGI, K1QTQ2_CRAGI	R7UUL8_CAPTE
OG0000078	A0A8W8KP93_CRAGI, K1PLG8_CRAGI	R7UZM9_CAPTE
OG0000079	K1RMM1_CRAGI	C4MLE9_CAPTE
OG0000080	K1RSM0_CRAGI	R7V240_CAPTE
OG0000082	A0A8W8I7D4_CRAGI, K1RD84_CRAGI	R7VCI3_CAPTE
OG0000083	K1QCD7_CRAGI, A0A8W8IUX3_CRAGI	R7TD78_CAPTE
OG0000084	K1PG94_CRAGI, A0A8W8KE56_CRAGI	R7VEW7_CAPTE, R7UQR4_CAPTE
OG0000085	K1P9C1_CRAGI	R7T959_CAPTE
OG0000090	A0A8W8KTQ1_CRAGI	R7TS59_CAPTE
OG0000091	A0A8W8KUY9_CRAGI	R7VFF9_CAPTE
OG0000093	K1Q583_CRAGI	R7TGS1_CAPTE
