Orthogroup	homeo_cgig	homeo_mcor
OG0000028	K1RAG1_CRAGI, K1PT65_CRAGI, K1Q0K0_CRAGI	A0A6J8C1D3_MYTCO, A0A6J8C174_MYTCO, A0A6J8EUF5_MYTCO, A0A6J8EV79_MYTCO, A0A6J8CQI8_MYTCO, A0A6J8BE62_MYTCO, A0A6J8CHV7_MYTCO
OG0000029	K1R911_CRAGI, K1QZ17_CRAGI, K1R7U8_CRAGI	A0A6J8A5C1_MYTCO, A0A6J8A4J2_MYTCO
OG0000030	K1QXI0_CRAGI, A0A8W8KA18_CRAGI	A0A6J8ERK1_MYTCO, A0A6J8EQX0_MYTCO, A0A6J8ENY4_MYTCO, A0A6J8ES43_MYTCO
OG0000031	A0A8W8HLC1_CRAGI	A0A6J8EJZ7_MYTCO, A0A6J8EIY5_MYTCO
OG0000032	K1PV30_CRAGI, A0A8W8I6I3_CRAGI	A0A6J8C463_MYTCO
OG0000033	K1QM31_CRAGI, A0A8W8IS98_CRAGI, A0A8W8IS94_CRAGI	A0A6J8DTJ6_MYTCO
OG0000034	K1PJ20_CRAGI, A0A8W8J227_CRAGI, A0A8W8IYA2_CRAGI	A0A6J8C2J9_MYTCO
OG0000035	K1RII0_CRAGI, A0A8W8K4L4_CRAGI, K1RU62_CRAGI, A0A8W8LA92_CRAGI	A0A6J8CQA8_MYTCO
OG0000036	K1REH4_CRAGI, A0A8W8KDY3_CRAGI, A0A8W8KK48_CRAGI	A0A6J8DUK4_MYTCO
OG0000037	A0A8W8KL69_CRAGI, A0A8W8KM51_CRAGI, K1PV68_CRAGI	A0A6J8EMB0_MYTCO
OG0000038	A0A8W8KQE1_CRAGI, A0A8W8KN59_CRAGI, A0A8W8KQD6_CRAGI, A0A8W8KN12_CRAGI, A0A8W8KN17_CRAGI, K1QAT6_CRAGI	A0A6J8ENW5_MYTCO, A0A6J8EPC6_MYTCO
OG0000039	A0A8W8M1J7_CRAGI, K1R9Y4_CRAGI	A0A6J8CQ10_MYTCO
OG0000040	A0A8W8HPX3_CRAGI, A0A8W8HQ61_CRAGI, K1P7N7_CRAGI	A0A6J8EYL3_MYTCO
OG0000040	K1R5Y2_CRAGI	A0A6J8AWT6_MYTCO
OG0000041	A0A8W8ICU4_CRAGI, A0A8W8IBC2_CRAGI, A0A8W8IBB7_CRAGI, K1QVP2_CRAGI, A0A8W8IBB5_CRAGI, A0A8W8ICT9_CRAGI	A0A6J8CBE3_MYTCO
OG0000042	A0A8W8IG58_CRAGI, K1RAP6_CRAGI	A0A6J8CIT0_MYTCO
OG0000043	A0A8W8K0G0_CRAGI, A0A8W8JWH0_CRAGI, K1Q9D5_CRAGI	A0A6J8AZP6_MYTCO
OG0000044	A0A8W8K987_CRAGI, A0A8W8K5L3_CRAGI, A0A8W8K5F1_CRAGI, K1QCX7_CRAGI	A0A6J8C331_MYTCO
OG0000045	K1QXA8_CRAGI, A0A8W8KX35_CRAGI	A0A6J8AZ87_MYTCO
OG0000046	A0A8W8N1H0_CRAGI, A0A8W8MTT5_CRAGI, A0A8W8N4R1_CRAGI, K1QFQ0_CRAGI, A0A8W8MYN2_CRAGI	A0A6J8EY74_MYTCO
OG0000047	A0A8W8MYN7_CRAGI, K1QNR4_CRAGI	A0A6J8EWN4_MYTCO
OG0000048	K1R0H9_CRAGI, A0A8W8HU29_CRAGI, A0A8W8HTU2_CRAGI	A0A6J8ENB2_MYTCO
OG0000049	K1R770_CRAGI, A0A8W8IXU5_CRAGI	A0A6J8DUS0_MYTCO
OG0000050	K1PGW7_CRAGI	A0A6J8AUZ8_MYTCO
OG0000051	A0A8W8N621_CRAGI, A0A8W8MXX7_CRAGI, K1QDG5_CRAGI	A0A6J8D1U5_MYTCO, A0A6J8D2E6_MYTCO
OG0000052	A0A8W8IPJ6_CRAGI, K1PPR5_CRAGI	A0A6J8EFH5_MYTCO
OG0000053	K1R041_CRAGI, A0A8W8IW65_CRAGI	A0A6J8EZ06_MYTCO
OG0000054	A0A8W8K796_CRAGI, K1QIJ6_CRAGI, A0A8W8K4K0_CRAGI, A0A8W8KAS8_CRAGI	A0A6J8AVS3_MYTCO
OG0000055	A0A8W8M0S5_CRAGI, K1PJF6_CRAGI	A0A6J8DWV1_MYTCO
OG0000055	A0A8W8M3U2_CRAGI, A0A8W8M2T1_CRAGI, K1PYP9_CRAGI	A0A6J8D3N8_MYTCO
OG0000056	K1QEU8_CRAGI, A0A8W8MTZ3_CRAGI, A0A8W8MTY9_CRAGI	A0A6J8A8V3_MYTCO
OG0000057	A0A8W8MW41_CRAGI, K1PP90_CRAGI	A0A6J8BQG6_MYTCO
OG0000058	A0A8W8N9G9_CRAGI, K1Q1H4_CRAGI	A0A6J8ABZ2_MYTCO
OG0000059	A0A8W8NAJ6_CRAGI, K1RC49_CRAGI	A0A6J8DVH7_MYTCO
OG0000060	K1QS55_CRAGI	A0A6J8B2W8_MYTCO
OG0000061	K1QXF3_CRAGI	A0A6J8DIY8_MYTCO
OG0000062	K1P5F1_CRAGI, A0A8W8I834_CRAGI	A0A6J8AC99_MYTCO
OG0000063	K1PGT0_CRAGI, A0A8W8HTT0_CRAGI	A0A6J8BAF2_MYTCO
OG0000064	K1Q8M9_CRAGI, A0A8W8IBX2_CRAGI, A0A8W8IBQ2_CRAGI	A0A6J8BRJ0_MYTCO
OG0000066	A0A8W8L000_CRAGI, K1PVZ4_CRAGI	A0A6J8AVM2_MYTCO
OG0000067	K1QUT3_CRAGI, A0A8W8MTT0_CRAGI	A0A6J8EU43_MYTCO
OG0000068	A0A8W8N0Z8_CRAGI, A0A8W8N1K7_CRAGI, K1QNR8_CRAGI	A0A6J8EUF3_MYTCO
OG0000069	A0A8W8N8W3_CRAGI, K1PW35_CRAGI	A0A6J8DU24_MYTCO
OG0000070	A0A8W8NM07_CRAGI, K1Q0E3_CRAGI	A0A6J8CAG2_MYTCO
OG0000071	K1RYX0_CRAGI, A0A8W8NNK0_CRAGI	A0A6J8E6J6_MYTCO
OG0000072	K1Q149_CRAGI	A0A6J8CGL6_MYTCO
OG0000073	K1QS33_CRAGI	A0A6J8D4P7_MYTCO
OG0000074	K1QUN5_CRAGI	A0A6J8DNQ5_MYTCO
OG0000075	K1QKW3_CRAGI, A0A8W8HZU1_CRAGI	A0A6J8D1U8_MYTCO
OG0000076	A0A8W8IWN5_CRAGI, K1QYJ1_CRAGI	A0A6J8EZB9_MYTCO
OG0000077	A0A8W8JP77_CRAGI, K1QTQ2_CRAGI	A0A6J8B0V2_MYTCO
OG0000078	A0A8W8KP93_CRAGI, K1PLG8_CRAGI	A0A6J8C5Y5_MYTCO
OG0000079	K1RMM1_CRAGI	A0A6J8EFG0_MYTCO, A0A6J8ECG1_MYTCO
OG0000080	K1RSM0_CRAGI	A0A6J8C7H5_MYTCO
OG0000082	A0A8W8I7D4_CRAGI, K1RD84_CRAGI	A0A6J8D1Q7_MYTCO
OG0000083	K1QCD7_CRAGI, A0A8W8IUX3_CRAGI	A0A6J8EYX5_MYTCO
OG0000084	K1PG94_CRAGI, A0A8W8KE56_CRAGI	A0A6J8D9V9_MYTCO
OG0000085	K1P9C1_CRAGI	A0A6J8CP64_MYTCO
OG0000087	A0A8W8L9L9_CRAGI, A0A8W8LAW3_CRAGI, K1QWY6_CRAGI	A0A6J8CSD9_MYTCO
OG0000088	A0A8W8IQQ8_CRAGI, K1QJ01_CRAGI	A0A6J8EDL3_MYTCO
OG0000089	A0A8W8IXT7_CRAGI, A0A8W8IZA9_CRAGI, K1QG81_CRAGI, A0A8W8IZB2_CRAGI	A0A6J8CQP8_MYTCO
OG0000090	A0A8W8KTQ1_CRAGI	A0A6J8BXD5_MYTCO
OG0000092	K1RFS1_CRAGI, A0A8W8MYI0_CRAGI	A0A6J8E8B0_MYTCO
OG0000093	K1Q583_CRAGI	A0A6J8BBK9_MYTCO
OG0000095	K1QBF2_CRAGI, A0A8W8I791_CRAGI	A0A6J8A8P8_MYTCO
OG0000096	A0A8W8IEN3_CRAGI, K1QV43_CRAGI, A0A8W8IGN2_CRAGI	A0A6J8CJY6_MYTCO
OG0000097	K1RXD5_CRAGI, A0A8W8IM60_CRAGI, A0A8W8INP6_CRAGI	A0A6J8CK90_MYTCO
OG0000099	A0A8W8MDE7_CRAGI, A0A8W8MEZ4_CRAGI, K1P8V9_CRAGI	A0A6J8BFY7_MYTCO
OG0000100	K1QEL4_CRAGI	A0A6J8BMA2_MYTCO, A0A6J8BKA4_MYTCO
OG0000102	K1Q654_CRAGI, A0A8W8ISJ8_CRAGI	A0A6J8F3G1_MYTCO
OG0000103	K1P313_CRAGI, A0A8W8JSB0_CRAGI	A0A6J8DR07_MYTCO
OG0000107	A0A8W8N345_CRAGI	A0A6J8CJ05_MYTCO
