Orthogroup	homeo_cgig	homeo_spha
OG0000025	A0A8W8NBC0_CRAGI, A0A8W8NE43_CRAGI, A0A8W8NIK3_CRAGI, A0A8W8NEB1_CRAGI, K1PYG5_CRAGI	A0A812DPV1_SEPPH, A0A812DNZ3_SEPPH
OG0000026	A0A8W8L5Z7_CRAGI, A0A8W8L9G2_CRAGI, K1R684_CRAGI, A0A8W8L5E0_CRAGI, A0A8W8L493_CRAGI, A0A8W8L9F6_CRAGI, A0A8W8L3M1_CRAGI	A0A812APR0_SEPPH
OG0000027	A0A8W8N5P0_CRAGI	A0A812E3X7_SEPPH
OG0000030	K1QXI0_CRAGI, A0A8W8KA18_CRAGI	A0A812CU56_SEPPH, A0A812CKB5_SEPPH
OG0000031	A0A8W8HLC1_CRAGI	A0A812BB01_SEPPH
OG0000033	K1QM31_CRAGI, A0A8W8IS98_CRAGI, A0A8W8IS94_CRAGI	A0A812CGF8_SEPPH
OG0000034	K1PJ20_CRAGI, A0A8W8J227_CRAGI, A0A8W8IYA2_CRAGI	A0A812DGB7_SEPPH
OG0000037	A0A8W8KL69_CRAGI, A0A8W8KM51_CRAGI, K1PV68_CRAGI	A0A812BHZ1_SEPPH
OG0000042	A0A8W8IG58_CRAGI, K1RAP6_CRAGI	A0A812B373_SEPPH
OG0000044	A0A8W8K987_CRAGI, A0A8W8K5L3_CRAGI, A0A8W8K5F1_CRAGI, K1QCX7_CRAGI	A0A812BER8_SEPPH
OG0000047	A0A8W8MYN7_CRAGI, K1QNR4_CRAGI	A0A812DPY5_SEPPH
OG0000049	K1R770_CRAGI, A0A8W8IXU5_CRAGI	A0A812DM15_SEPPH
OG0000060	K1QS55_CRAGI	A0A812AM68_SEPPH
OG0000061	K1QXF3_CRAGI	A0A812BSA7_SEPPH, A0A812B6T3_SEPPH
OG0000069	A0A8W8N8W3_CRAGI, K1PW35_CRAGI	A0A812BAS7_SEPPH
OG0000070	A0A8W8NM07_CRAGI, K1Q0E3_CRAGI	A0A812DLT3_SEPPH
OG0000071	K1RYX0_CRAGI, A0A8W8NNK0_CRAGI	A0A812ECF7_SEPPH
OG0000078	A0A8W8KP93_CRAGI, K1PLG8_CRAGI	A0A812BK74_SEPPH
OG0000085	K1P9C1_CRAGI	A0A812DSX2_SEPPH
OG0000100	K1QEL4_CRAGI	A0A812ESN4_SEPPH
