Orthogroup	homeo_cgig	homeo_lgig
OG0000068	A0A8W8N0Z8_CRAGI, A0A8W8N1K7_CRAGI, K1QNR8_CRAGI	V4B622_LOTGI
OG0000069	A0A8W8N8W3_CRAGI, K1PW35_CRAGI	V4AEL3_LOTGI
OG0000070	A0A8W8NM07_CRAGI, K1Q0E3_CRAGI	V3ZEA7_LOTGI
OG0000071	K1RYX0_CRAGI, A0A8W8NNK0_CRAGI	V4APN7_LOTGI
OG0000072	K1Q149_CRAGI	V3ZS89_LOTGI
OG0000073	K1QS33_CRAGI	V3ZY21_LOTGI
OG0000074	K1QUN5_CRAGI	V4CJP9_LOTGI
OG0000075	K1QKW3_CRAGI, A0A8W8HZU1_CRAGI	V4A086_LOTGI
OG0000076	A0A8W8IWN5_CRAGI, K1QYJ1_CRAGI	V4AQ81_LOTGI
OG0000077	A0A8W8JP77_CRAGI, K1QTQ2_CRAGI	V4BFC9_LOTGI
OG0000078	A0A8W8KP93_CRAGI, K1PLG8_CRAGI	V3ZXQ0_LOTGI
OG0000079	K1RMM1_CRAGI	V4C954_LOTGI
OG0000080	K1RSM0_CRAGI	V4A4Z2_LOTGI
OG0000082	A0A8W8I7D4_CRAGI, K1RD84_CRAGI	V3ZWV3_LOTGI
OG0000083	K1QCD7_CRAGI, A0A8W8IUX3_CRAGI	V4AT90_LOTGI
OG0000085	K1P9C1_CRAGI	V3Z9S3_LOTGI
OG0000087	A0A8W8L9L9_CRAGI, A0A8W8LAW3_CRAGI, K1QWY6_CRAGI	A0A0B6VJL1_LOTGI
OG0000088	A0A8W8IQQ8_CRAGI, K1QJ01_CRAGI	V4ACL4_LOTGI, V4AIX4_LOTGI
OG0000090	A0A8W8KTQ1_CRAGI	V4BLG5_LOTGI
OG0000093	K1Q583_CRAGI	V4B058_LOTGI
OG0000095	K1QBF2_CRAGI, A0A8W8I791_CRAGI	V4ABE0_LOTGI
