Orthogroup	homeo_cgig	homeo_pdum
OG0000025	A0A8W8NBC0_CRAGI, A0A8W8NE43_CRAGI, A0A8W8NIK3_CRAGI, A0A8W8NEB1_CRAGI, K1PYG5_CRAGI	Pdum_DN66937_c0_g1_i1.p1^
OG0000027	A0A8W8N5P0_CRAGI	Pdum_DN90853_c3_g1_i5.p1^
OG0000030	K1QXI0_CRAGI, A0A8W8KA18_CRAGI	Pdum_DN79894_c0_g1_i15.p1^
OG0000031	A0A8W8HLC1_CRAGI	Pdum_DN83076_c0_g2_i1.p1^
OG0000032	K1PV30_CRAGI, A0A8W8I6I3_CRAGI	Pdum_DN67112_c0_g1_i1.p1^
OG0000034	K1PJ20_CRAGI, A0A8W8J227_CRAGI, A0A8W8IYA2_CRAGI	Pdum_DN75781_c0_g1_i2.p1^
OG0000036	K1REH4_CRAGI, A0A8W8KDY3_CRAGI, A0A8W8KK48_CRAGI	Pdum_DN85739_c0_g1_i1.p1^
OG0000037	A0A8W8KL69_CRAGI, A0A8W8KM51_CRAGI, K1PV68_CRAGI	Pdum_DN50323_c0_g1_i1.p1^, Pdum_DN91429_c7_g4_i1.p1^
OG0000042	A0A8W8IG58_CRAGI, K1RAP6_CRAGI	Pdum_DN83362_c0_g1_i12.p1^
OG0000043	A0A8W8K0G0_CRAGI, A0A8W8JWH0_CRAGI, K1Q9D5_CRAGI	Pdum_DN91323_c1_g1_i1.p1^
OG0000043	K1QV62_CRAGI, A0A8W8JWV0_CRAGI	Pdum_DN73679_c0_g1_i2.p1^
OG0000046	A0A8W8N1H0_CRAGI, A0A8W8MTT5_CRAGI, A0A8W8N4R1_CRAGI, K1QFQ0_CRAGI, A0A8W8MYN2_CRAGI	Pdum_DN80119_c0_g1_i2.p1^
OG0000047	A0A8W8MYN7_CRAGI, K1QNR4_CRAGI	Pdum_DN84301_c0_g1_i2.p1^
OG0000048	K1R0H9_CRAGI, A0A8W8HU29_CRAGI, A0A8W8HTU2_CRAGI	Pdum_DN83667_c1_g1_i9.p1^
OG0000049	K1R770_CRAGI, A0A8W8IXU5_CRAGI	Pdum_DN74981_c0_g1_i2.p1^
OG0000052	A0A8W8IPJ6_CRAGI, K1PPR5_CRAGI	Pdum_DN81108_c0_g1_i3.p1^
OG0000053	K1R041_CRAGI, A0A8W8IW65_CRAGI	Pdum_DN72621_c0_g1_i2.p1^
OG0000054	A0A8W8K796_CRAGI, K1QIJ6_CRAGI, A0A8W8K4K0_CRAGI, A0A8W8KAS8_CRAGI	Pdum_DN78247_c0_g1_i1.p1^
OG0000057	A0A8W8MW41_CRAGI, K1PP90_CRAGI	Pdum_DN81728_c0_g1_i1.p1^
OG0000058	A0A8W8N9G9_CRAGI, K1Q1H4_CRAGI	Pdum_DN80655_c0_g3_i2.p1^
OG0000059	A0A8W8NAJ6_CRAGI, K1RC49_CRAGI	Pdum_DN89862_c1_g2_i3.p1^
OG0000066	A0A8W8L000_CRAGI, K1PVZ4_CRAGI	Pdum_DN75939_c0_g1_i5.p1^
OG0000067	K1QUT3_CRAGI, A0A8W8MTT0_CRAGI	Pdum_DN81110_c0_g1_i4.p1^
OG0000069	A0A8W8N8W3_CRAGI, K1PW35_CRAGI	Pdum_DN84796_c0_g1_i12.p1^
OG0000071	K1RYX0_CRAGI, A0A8W8NNK0_CRAGI	Pdum_DN91293_c5_g1_i4.p1^
OG0000073	K1QS33_CRAGI	Pdum_DN66869_c0_g1_i1.p1^
OG0000074	K1QUN5_CRAGI	Pdum_DN87519_c0_g1_i4.p1^
OG0000080	K1RSM0_CRAGI	Pdum_DN74284_c0_g1_i3.p1^
