Orthogroup	homeo_lgig	homeo_cgig
OG0000011	V4BYW7_LOTGI	A0A8W8NKY1_CRAGI, K1QA73_CRAGI
OG0000012	V3ZYQ4_LOTGI, V4A376_LOTGI	A0A8W8N8Z0_CRAGI, K1PNG1_CRAGI, K1PW38_CRAGI
OG0000013	V4BAL1_LOTGI	A0A8W8N110_CRAGI, A0A8W8N1L7_CRAGI, K1RHX0_CRAGI, A0A8W8N1L2_CRAGI
OG0000014	V3ZFW3_LOTGI	K1QCU1_CRAGI, A0A8W8I780_CRAGI, A0A8W8I5P7_CRAGI
OG0000015	V4CK27_LOTGI, V4AEW6_LOTGI, V4AYB9_LOTGI	A0A8W8IY98_CRAGI, K1QPR6_CRAGI, A0A8W8J181_CRAGI, A0A8W8IZU2_CRAGI, A0A8W8J275_CRAGI
OG0000016	V4AKS9_LOTGI, A0A0B6VJM6_LOTGI	A0A8W8LHX8_CRAGI, K1RE41_CRAGI, A0A8W8LGC0_CRAGI, A0A8W8LMC2_CRAGI
OG0000017	V4CL34_LOTGI	A0A8W8MTV1_CRAGI, A0A8W8MYP5_CRAGI, A0A8W8N1I9_CRAGI, K1QFQ3_CRAGI, A0A8W8N4T0_CRAGI, A0A8W8MYP1_CRAGI, A0A8W8N4S5_CRAGI, A0A8W8N4T5_CRAGI
OG0000019	V4B0Q5_LOTGI	A0A8W8MBS7_CRAGI, A0A8W8ML63_CRAGI, K1RYM7_CRAGI, A0A8W8MC90_CRAGI
OG0000020	V3ZZF5_LOTGI	K1QLY6_CRAGI, A0A8W8IV11_CRAGI, A0A8W8ITK7_CRAGI, A0A8W8IVV5_CRAGI, A0A8W8ITN2_CRAGI, A0A8W8IX86_CRAGI
OG0000021	V4BGE9_LOTGI, A0A0B6VLM4_LOTGI	A0A8W8KZY7_CRAGI, K1PZT1_CRAGI, A0A8W8KUA3_CRAGI, A0A8W8KU68_CRAGI
OG0000022	V4BA79_LOTGI, A0A0B6VH93_LOTGI	K1R6C9_CRAGI, A0A8W8LDK7_CRAGI, K1R014_CRAGI, A0A8W8LJK1_CRAGI, A0A8W8LF54_CRAGI
OG0000023	V4BHE9_LOTGI	K1RMV0_CRAGI, A0A8W8MC14_CRAGI
OG0000024	V4BAL6_LOTGI	A0A8W8MYT7_CRAGI, A0A8W8N1P2_CRAGI, K1PZI6_CRAGI
OG0000025	V4AG18_LOTGI	A0A8W8NBC0_CRAGI, A0A8W8NE43_CRAGI, A0A8W8NIK3_CRAGI, A0A8W8NEB1_CRAGI, K1PYG5_CRAGI
OG0000026	V4A848_LOTGI	A0A8W8L5Z7_CRAGI, A0A8W8L9G2_CRAGI, K1R684_CRAGI, A0A8W8L5E0_CRAGI, A0A8W8L493_CRAGI, A0A8W8L9F6_CRAGI, A0A8W8L3M1_CRAGI
OG0000027	V4BFH7_LOTGI	A0A8W8N5P0_CRAGI
OG0000028	V4ACD2_LOTGI, V4AH97_LOTGI, V3ZVH8_LOTGI	K1RAG1_CRAGI, K1PT65_CRAGI, K1Q0K0_CRAGI
OG0000031	A0A0B6VI83_LOTGI, V3ZSX3_LOTGI	A0A8W8HLC1_CRAGI
OG0000032	B6SD85_LOTGI, V3Z534_LOTGI, A0A0B6VJK7_LOTGI	K1PV30_CRAGI, A0A8W8I6I3_CRAGI
OG0000033	V3YX15_LOTGI	K1QM31_CRAGI, A0A8W8IS98_CRAGI, A0A8W8IS94_CRAGI
OG0000034	V4ACI6_LOTGI	K1PJ20_CRAGI, A0A8W8J227_CRAGI, A0A8W8IYA2_CRAGI
OG0000035	V3ZZC7_LOTGI, A0A0B6VNI7_LOTGI	K1RII0_CRAGI, A0A8W8K4L4_CRAGI, K1RU62_CRAGI, A0A8W8LA92_CRAGI
OG0000036	A0A0B6VI79_LOTGI	K1REH4_CRAGI, A0A8W8KDY3_CRAGI, A0A8W8KK48_CRAGI
OG0000037	V4AJI3_LOTGI	A0A8W8KL69_CRAGI, A0A8W8KM51_CRAGI, K1PV68_CRAGI
OG0000038	V4BLD9_LOTGI	A0A8W8KQE1_CRAGI, A0A8W8KN59_CRAGI, A0A8W8KQD6_CRAGI, A0A8W8KN12_CRAGI, A0A8W8KN17_CRAGI, K1QAT6_CRAGI
OG0000039	V4AA12_LOTGI, V4BKP8_LOTGI, V4A794_LOTGI, V4A2J2_LOTGI, V4ACK5_LOTGI, V3ZRN3_LOTGI	A0A8W8M1J7_CRAGI, K1R9Y4_CRAGI
OG0000040	A0A0B6VH87_LOTGI, V4B9I8_LOTGI	A0A8W8HPX3_CRAGI, A0A8W8HQ61_CRAGI, K1P7N7_CRAGI, K1R5Y2_CRAGI
OG0000041	A0A0B6VNG0_LOTGI, V4ACH7_LOTGI	A0A8W8ICU4_CRAGI, A0A8W8IBC2_CRAGI, A0A8W8IBB7_CRAGI, K1QVP2_CRAGI, A0A8W8IBB5_CRAGI, A0A8W8ICT9_CRAGI
OG0000042	V4A7Q4_LOTGI	A0A8W8IG58_CRAGI, K1RAP6_CRAGI
OG0000043	V3YXS2_LOTGI	K1QV62_CRAGI, A0A8W8JWV0_CRAGI
OG0000044	A0A0B6VLK3_LOTGI, V3ZXV0_LOTGI	A0A8W8K987_CRAGI, A0A8W8K5L3_CRAGI, A0A8W8K5F1_CRAGI, K1QCX7_CRAGI
OG0000045	V3ZLP8_LOTGI	K1QXA8_CRAGI, A0A8W8KX35_CRAGI
OG0000046	V4AZ15_LOTGI	A0A8W8N1H0_CRAGI, A0A8W8MTT5_CRAGI, A0A8W8N4R1_CRAGI, K1QFQ0_CRAGI, A0A8W8MYN2_CRAGI
OG0000047	V4AG06_LOTGI	A0A8W8MYN7_CRAGI, K1QNR4_CRAGI
OG0000048	V4BYI6_LOTGI	K1R0H9_CRAGI, A0A8W8HU29_CRAGI, A0A8W8HTU2_CRAGI
OG0000049	V3Z6R3_LOTGI	K1R770_CRAGI, A0A8W8IXU5_CRAGI
OG0000050	V3ZSK0_LOTGI	K1PGW7_CRAGI
OG0000051	V4B5G4_LOTGI	A0A8W8N621_CRAGI, A0A8W8MXX7_CRAGI, K1QDG5_CRAGI
OG0000052	V3ZL15_LOTGI	A0A8W8IPJ6_CRAGI, K1PPR5_CRAGI
OG0000053	V4C5P1_LOTGI	K1R041_CRAGI, A0A8W8IW65_CRAGI
OG0000054	V3ZB50_LOTGI	A0A8W8K796_CRAGI, K1QIJ6_CRAGI, A0A8W8K4K0_CRAGI, A0A8W8KAS8_CRAGI
OG0000055	V4AQ16_LOTGI, V4ALV7_LOTGI	A0A8W8M0S5_CRAGI, K1PJF6_CRAGI, A0A8W8M3U2_CRAGI, A0A8W8M2T1_CRAGI, K1PYP9_CRAGI
OG0000056	V4CL40_LOTGI	K1QEU8_CRAGI, A0A8W8MTZ3_CRAGI, A0A8W8MTY9_CRAGI
OG0000057	A0A0B6VI59_LOTGI, V3ZS59_LOTGI	A0A8W8MW41_CRAGI, K1PP90_CRAGI
OG0000058	V4AG74_LOTGI	A0A8W8N9G9_CRAGI, K1Q1H4_CRAGI
OG0000059	V4AG38_LOTGI	A0A8W8NAJ6_CRAGI, K1RC49_CRAGI
OG0000060	V4AMU9_LOTGI	K1QS55_CRAGI
OG0000061	V4ALT1_LOTGI, A0A0B6VLJ9_LOTGI	K1QXF3_CRAGI
OG0000062	V3ZRS6_LOTGI	K1P5F1_CRAGI, A0A8W8I834_CRAGI
OG0000063	V4B3K2_LOTGI	K1PGT0_CRAGI, A0A8W8HTT0_CRAGI
OG0000064	V3ZSX8_LOTGI	K1Q8M9_CRAGI, A0A8W8IBX2_CRAGI, A0A8W8IBQ2_CRAGI
OG0000065	V4ALC7_LOTGI	A0A8W8IQU2_CRAGI, A0A8W8IPI1_CRAGI, K1R7X3_CRAGI
OG0000066	V3ZI41_LOTGI	A0A8W8L000_CRAGI, K1PVZ4_CRAGI
OG0000067	V4BAI4_LOTGI	K1QUT3_CRAGI, A0A8W8MTT0_CRAGI
OG0000068	V4B622_LOTGI	A0A8W8N0Z8_CRAGI, A0A8W8N1K7_CRAGI, K1QNR8_CRAGI
OG0000069	V4AEL3_LOTGI	A0A8W8N8W3_CRAGI, K1PW35_CRAGI
OG0000070	V3ZEA7_LOTGI	A0A8W8NM07_CRAGI, K1Q0E3_CRAGI
OG0000071	V4APN7_LOTGI	K1RYX0_CRAGI, A0A8W8NNK0_CRAGI
OG0000072	V3ZS89_LOTGI	K1Q149_CRAGI
OG0000073	V3ZY21_LOTGI	K1QS33_CRAGI
OG0000074	V4CJP9_LOTGI	K1QUN5_CRAGI
OG0000075	V4A086_LOTGI	K1QKW3_CRAGI, A0A8W8HZU1_CRAGI
OG0000076	V4AQ81_LOTGI	A0A8W8IWN5_CRAGI, K1QYJ1_CRAGI
OG0000077	V4BFC9_LOTGI	A0A8W8JP77_CRAGI, K1QTQ2_CRAGI
OG0000078	V3ZXQ0_LOTGI	A0A8W8KP93_CRAGI, K1PLG8_CRAGI
OG0000079	V4C954_LOTGI	K1RMM1_CRAGI
OG0000080	V4A4Z2_LOTGI	K1RSM0_CRAGI
OG0000082	V3ZWV3_LOTGI	A0A8W8I7D4_CRAGI, K1RD84_CRAGI
OG0000083	V4AT90_LOTGI	K1QCD7_CRAGI, A0A8W8IUX3_CRAGI
OG0000085	V3Z9S3_LOTGI	K1P9C1_CRAGI
OG0000087	A0A0B6VJL1_LOTGI	A0A8W8L9L9_CRAGI, A0A8W8LAW3_CRAGI, K1QWY6_CRAGI
OG0000088	V4ACL4_LOTGI, V4AIX4_LOTGI	A0A8W8IQQ8_CRAGI, K1QJ01_CRAGI
OG0000090	V4BLG5_LOTGI	A0A8W8KTQ1_CRAGI
OG0000093	V4B058_LOTGI	K1Q583_CRAGI
OG0000095	V4ABE0_LOTGI	K1QBF2_CRAGI, A0A8W8I791_CRAGI
