	homeo_cgig	homeo_ctel	homeo_lgig	homeo_mcor	homeo_ofus	homeo_pdum	homeo_pele	homeo_spha
OG0000010	A0A8W8KX13_CRAGI, A0A8W8L0Q8_CRAGI, K1QGS5_CRAGI, K1R2K0_CRAGI	R7T8A8_CAPTE, R7TEF8_CAPTE	V3ZMY7_LOTGI, V4BUI5_LOTGI	A0A6J8AD85_MYTCO, A0A6J8AXF0_MYTCO, A0A6J8AYI9_MYTCO, A0A6J8B0Y3_MYTCO	A0A8J1TY94_OWEFU, A0A8J1U072_OWEFU	Pdum_DN83264_c1_g2_i1.p1^	Pele_DN134626_c0_g2_i1.p1^	A0A812EIQ4_SEPPH
OG0000011	A0A8W8NHM8_CRAGI, A0A8W8NKY1_CRAGI, A0A8W8NPX1_CRAGI, K1PAC6_CRAGI, K1QA73_CRAGI	A6XFC4_CAPTE, I2CHN6_CAPTE, I2CHN7_CAPTE, R7UJW8_CAPTE	V3ZS97_LOTGI, V4BYW7_LOTGI	A0A6J8DQU1_MYTCO, A0A6J8DUM5_MYTCO	A0A165US84_OWEFU	Pdum_DN70407_c0_g2_i8.p1^	Pele_DN161083_c3_g4_i2.p1^	A0A812BNP1_SEPPH
OG0000012	A0A8W8N8Z0_CRAGI, K1PNG1_CRAGI, K1PW38_CRAGI	Q4JEV7_CAPTE, R7T5K2_CAPTE, R7T5Y1_CAPTE	V3ZYQ4_LOTGI, V4A376_LOTGI	A0A6J8DJ46_MYTCO, A0A6J8DK06_MYTCO	A0A8J1TNT9_OWEFU, A0A8S4N3Y9_OWEFU	Pdum_DN83273_c0_g1_i5.p1^	Pele_DN160581_c0_g1_i5.p1^	A0A812B8U9_SEPPH, A0A812B9P4_SEPPH
OG0000013	A0A8W8N110_CRAGI, A0A8W8N1L2_CRAGI, A0A8W8N1L7_CRAGI, K1RHX0_CRAGI	B6RFX8_CAPTE, B6RFY3_CAPTE, R7TDR8_CAPTE	V4AZ19_LOTGI, V4BAL1_LOTGI	A0A6J8EU52_MYTCO, A0A6J8EUM6_MYTCO	A0A8J1UCV7_OWEFU, A0A8J1UD53_OWEFU	Pdum_DN87922_c0_g1_i6.p1^, Pdum_DN92432_c4_g1_i1.p1^	Pele_DN155309_c0_g1_i4.p1^	
OG0000014	A0A8W8I5P7_CRAGI, A0A8W8I780_CRAGI, K1QCU1_CRAGI	C4MK38_CAPTE, C4MK39_CAPTE, R7UKD7_CAPTE, R7ULV8_CAPTE	V3ZFW3_LOTGI	A0A6J8A481_MYTCO	A0A2I6QBN3_OWEFU, A0A8J1U7M4_OWEFU, A0A8J1XW66_OWEFU, A0A8J1XXX6_OWEFU	Pdum_DN71779_c0_g1_i1.p1^	Pele_DN159040_c0_g1_i2.p1^	
OG0000015	A0A8W8IY98_CRAGI, A0A8W8IZU2_CRAGI, A0A8W8J181_CRAGI, A0A8W8J275_CRAGI, K1QPR6_CRAGI	R7T846_CAPTE, R7TFH5_CAPTE	V4AEW6_LOTGI, V4AYB9_LOTGI, V4CK27_LOTGI	A0A6J8AFB3_MYTCO	A0A2I6QBN9_OWEFU, A0A2I6QBP3_OWEFU, A0A8J1XFN8_OWEFU		Pele_DN144512_c2_g1_i7.p1^	
OG0000016	A0A8W8LGC0_CRAGI, A0A8W8LHX8_CRAGI, A0A8W8LMC2_CRAGI, K1RE41_CRAGI	R7UF46_CAPTE	A0A0B6VJM6_LOTGI, V4AKS9_LOTGI, V4CQS4_LOTGI	A0A6J8AS36_MYTCO	A0A8J1UEH4_OWEFU, A0A8J1UHP7_OWEFU, A0A8J1Y336_OWEFU	Pdum_DN81015_c0_g1_i6.p1^	Pele_DN143372_c0_g1_i3.p1^	A0A812DQW3_SEPPH
OG0000017	A0A8W8MTV1_CRAGI, A0A8W8MYP1_CRAGI, A0A8W8MYP5_CRAGI, A0A8W8N1I9_CRAGI, A0A8W8N4S5_CRAGI, A0A8W8N4T0_CRAGI, A0A8W8N4T5_CRAGI, K1QFQ3_CRAGI	B6RFX6_CAPTE, R7TLA4_CAPTE	V4CL34_LOTGI	A0A6J8EWU2_MYTCO	A0A8J1U832_OWEFU	Pdum_DN75322_c0_g2_i2.p1^	Pele_DN149768_c2_g3_i1.p1^	
OG0000018				A0A6J8A2P8_MYTCO, A0A6J8A349_MYTCO, A0A6J8A3M5_MYTCO, A0A6J8A630_MYTCO, A0A6J8A6Z5_MYTCO, A0A6J8A871_MYTCO, A0A6J8AIC8_MYTCO, A0A6J8AIL5_MYTCO, A0A6J8AIL6_MYTCO, A0A6J8AIP0_MYTCO, A0A6J8AKZ8_MYTCO, A0A6J8C8D1_MYTCO, A0A6J8C8S9_MYTCO, A0A6J8CA61_MYTCO			Pele_DN154028_c0_g1_i8.p1^	
OG0000019	A0A8W8MBS7_CRAGI, A0A8W8MC90_CRAGI, A0A8W8ML63_CRAGI, K1RYM7_CRAGI		V4B0Q5_LOTGI	A0A6J7ZWH3_MYTCO, A0A6J7ZWY7_MYTCO, A0A6J8AXM7_MYTCO, A0A6J8AYR7_MYTCO		Pdum_DN72039_c3_g4_i2.p1^, Pdum_DN84079_c0_g1_i3.p1^, Pdum_DN86613_c0_g1_i2.p1^	Pele_DN165661_c1_g4_i3.p1^	A0A812E850_SEPPH
OG0000020	A0A8W8ITK7_CRAGI, A0A8W8ITN2_CRAGI, A0A8W8IV11_CRAGI, A0A8W8IVV5_CRAGI, A0A8W8IX86_CRAGI, K1QLY6_CRAGI	C4MK41_CAPTE, R7TT53_CAPTE, R7TTR6_CAPTE	V3ZZF5_LOTGI	A0A6J8EQ72_MYTCO	A0A8J1T614_OWEFU	Pdum_DN77586_c0_g1_i9.p1^		A0A812CVN2_SEPPH
OG0000021	A0A8W8KU68_CRAGI, A0A8W8KUA3_CRAGI, A0A8W8KZY7_CRAGI, K1PZT1_CRAGI	R7TTU8_CAPTE, R7U050_CAPTE	A0A0B6VLM4_LOTGI, V4BGE9_LOTGI	A0A6J8AHL2_MYTCO	A0A8J1XWF8_OWEFU, A0A8S4P241_OWEFU	Pdum_DN80764_c1_g1_i2.p1^		A0A812DH78_SEPPH, A0A812DH96_SEPPH
OG0000022	A0A8W8LDK7_CRAGI, A0A8W8LF54_CRAGI, A0A8W8LJK1_CRAGI, K1R014_CRAGI, K1R6C9_CRAGI	R7TPZ8_CAPTE	A0A0B6VH93_LOTGI, V4BA79_LOTGI	A0A6J8AT60_MYTCO, A0A6J8AWI0_MYTCO, A0A6J8AXB1_MYTCO	A0A8J1TZ61_OWEFU	Pdum_DN68407_c0_g1_i7.p1^	Pele_DN135596_c3_g1_i5.p1^	
OG0000023	A0A8W8MC14_CRAGI, K1RMV0_CRAGI	R7VCA4_CAPTE	V4BHE9_LOTGI	A0A6J8CQJ4_MYTCO, A0A6J8CS02_MYTCO	A0A8J1UG53_OWEFU, A0A8J1UHF5_OWEFU, A0A8J1UKC6_OWEFU, A0A8J1Y3W8_OWEFU, A0A8S4P263_OWEFU	Pdum_DN89526_c4_g1_i2.p1^	Pele_DN155499_c1_g2_i7.p1^	A0A812AKM1_SEPPH
OG0000024	A0A8W8MYT7_CRAGI, A0A8W8N1P2_CRAGI, K1PZI6_CRAGI	B6RFY1_CAPTE, R7UM68_CAPTE	V4BAL6_LOTGI	A0A6J8A9D3_MYTCO	A0A8J1U9I4_OWEFU, A0A8J1UDF1_OWEFU, A0A8J1UDK6_OWEFU, A0A8S4MYZ0_OWEFU	Pdum_DN92058_c1_g1_i2.p1^	Pele_DN143168_c0_g1_i1.p1^	A0A812EZS5_SEPPH
OG0000025	A0A8W8NBC0_CRAGI, A0A8W8NE43_CRAGI, A0A8W8NEB1_CRAGI, A0A8W8NIK3_CRAGI, K1PYG5_CRAGI	R7UP28_CAPTE, R7UVI0_CAPTE	V4AG18_LOTGI	A0A6J8D8H3_MYTCO	A0A8J1XR59_OWEFU	Pdum_DN66937_c0_g1_i1.p1^	Pele_DN163341_c0_g7_i2.p1^	A0A812DNZ3_SEPPH, A0A812DPV1_SEPPH
OG0000026	A0A8W8L3M1_CRAGI, A0A8W8L493_CRAGI, A0A8W8L5E0_CRAGI, A0A8W8L5Z7_CRAGI, A0A8W8L9F6_CRAGI, A0A8W8L9G2_CRAGI, K1R684_CRAGI	R7UC46_CAPTE	V4A848_LOTGI	A0A6J8DYQ0_MYTCO	A0A8J1UI38_OWEFU		Pele_DN156972_c3_g1_i1.p1^	A0A812APR0_SEPPH
OG0000027	A0A8W8N5P0_CRAGI		V4BFH7_LOTGI	A0A6J8D474_MYTCO	A0A8J1XMG3_OWEFU, A0A8J1XPB1_OWEFU, A0A8J1XPS3_OWEFU, A0A8S4MZR0_OWEFU, A0A8S4N056_OWEFU, A0A8S4N103_OWEFU, A0A8S4N1A7_OWEFU	Pdum_DN90853_c3_g1_i5.p1^	Pele_DN134969_c3_g2_i5.p1^	A0A812E3X7_SEPPH
OG0000028	K1PT65_CRAGI, K1Q0K0_CRAGI, K1RAG1_CRAGI		V3ZVH8_LOTGI, V4ACD2_LOTGI, V4AH97_LOTGI	A0A6J8BE62_MYTCO, A0A6J8C174_MYTCO, A0A6J8C1D3_MYTCO, A0A6J8CHV7_MYTCO, A0A6J8CQI8_MYTCO, A0A6J8EUF5_MYTCO, A0A6J8EV79_MYTCO				
OG0000029	K1QZ17_CRAGI, K1R7U8_CRAGI, K1R911_CRAGI	R7TQQ8_CAPTE, R7TZ85_CAPTE, R7U1J4_CAPTE, R7UX02_CAPTE, R7V0S4_CAPTE		A0A6J8A4J2_MYTCO, A0A6J8A5C1_MYTCO, A0A6J8BU55_MYTCO, A0A6J8BVE3_MYTCO, A0A6J8BWE0_MYTCO				
OG0000030	A0A8W8KA18_CRAGI, K1QXI0_CRAGI			A0A6J8ENY4_MYTCO, A0A6J8EQX0_MYTCO, A0A6J8ERK1_MYTCO, A0A6J8ES43_MYTCO	A0A8J1TIQ6_OWEFU, A0A8S4Q4Y5_OWEFU	Pdum_DN79894_c0_g1_i15.p1^	Pele_DN163654_c0_g2_i7.p1^	A0A812CKB5_SEPPH, A0A812CU56_SEPPH
OG0000031	A0A8W8HLC1_CRAGI	R7TFZ7_CAPTE	A0A0B6VI83_LOTGI, V3ZSX3_LOTGI	A0A6J8EIY5_MYTCO, A0A6J8EJZ7_MYTCO	A0A8J1TVW9_OWEFU, A0A8J1TXC5_OWEFU, A0A8J1XUY2_OWEFU	Pdum_DN83076_c0_g2_i1.p1^	Pele_DN161508_c2_g1_i2.p1^	A0A812BB01_SEPPH
OG0000032	A0A8W8I6I3_CRAGI, K1PV30_CRAGI	R7TUB2_CAPTE	A0A0B6VJK7_LOTGI, B6SD85_LOTGI, V3Z534_LOTGI	A0A6J8C463_MYTCO	A0A166GC00_OWEFU, A0A8J1UL28_OWEFU, A0A8J1UPA1_OWEFU	Pdum_DN67112_c0_g1_i1.p1^	Pele_DN139229_c3_g1_i1.p1^	
OG0000033	A0A8W8IS94_CRAGI, A0A8W8IS98_CRAGI, K1QM31_CRAGI	C4MLF0_CAPTE, R7T4E3_CAPTE, R7T8C3_CAPTE	V3YX15_LOTGI	A0A6J8DTJ6_MYTCO	A0A8J1T993_OWEFU, A0A8S4NPX3_OWEFU	Pdum_DN75755_c0_g1_i4.p1^		A0A812CGF8_SEPPH
OG0000034	A0A8W8IYA2_CRAGI, A0A8W8J227_CRAGI, K1PJ20_CRAGI	C4MLF3_CAPTE, R7UCX5_CAPTE	V4ACI6_LOTGI	A0A6J8C2J9_MYTCO	A0A8J1T7B9_OWEFU, A0A8J1T830_OWEFU	Pdum_DN75781_c0_g1_i2.p1^	Pele_DN156788_c0_g1_i2.p1^	A0A812DGB7_SEPPH
OG0000035	A0A8W8K4L4_CRAGI, A0A8W8LA92_CRAGI, K1RII0_CRAGI, K1RU62_CRAGI	R7U2Q3_CAPTE, R7UAK3_CAPTE, R7UAU5_CAPTE	A0A0B6VNI7_LOTGI, V3ZZC7_LOTGI	A0A6J8CQA8_MYTCO	A0A8J1XVI0_OWEFU, A0A8S4P1L7_OWEFU			
OG0000036	A0A8W8KDY3_CRAGI, A0A8W8KK48_CRAGI, K1REH4_CRAGI	R7U2A3_CAPTE, R7UAG0_CAPTE	A0A0B6VI79_LOTGI, V4CHA2_LOTGI	A0A6J8DUK4_MYTCO	A0A8J1TLL2_OWEFU, A0A8J1XNQ9_OWEFU	Pdum_DN85739_c0_g1_i1.p1^	Pele_DN122504_c0_g1_i1.p1^	
OG0000037	A0A8W8KL69_CRAGI, A0A8W8KM51_CRAGI, K1PV68_CRAGI	R7UTJ6_CAPTE	V4AJI3_LOTGI	A0A6J8EMB0_MYTCO	A0A8J1TZ22_OWEFU, A0A8S4PRS0_OWEFU	Pdum_DN50323_c0_g1_i1.p1^, Pdum_DN91429_c7_g4_i1.p1^	Pele_DN161761_c0_g3_i2.p1^	A0A812BHZ1_SEPPH
OG0000038	A0A8W8KN12_CRAGI, A0A8W8KN17_CRAGI, A0A8W8KN59_CRAGI, A0A8W8KQD6_CRAGI, A0A8W8KQE1_CRAGI, K1QAT6_CRAGI	R7TQQ6_CAPTE	V4BLD9_LOTGI	A0A6J8ENW5_MYTCO, A0A6J8EPC6_MYTCO	A0A8J1TIC1_OWEFU		Pele_DN130740_c0_g1_i8.p1^	
OG0000039	A0A8W8M1J7_CRAGI, K1R9Y4_CRAGI		V3ZRN3_LOTGI, V4A2J2_LOTGI, V4A794_LOTGI, V4A9G9_LOTGI, V4AA12_LOTGI, V4ACK5_LOTGI, V4BKP8_LOTGI	A0A6J8CL83_MYTCO, A0A6J8CQ10_MYTCO, A0A6J8CQL9_MYTCO				
OG0000040	A0A8W8HPX3_CRAGI, A0A8W8HQ61_CRAGI, K1P7N7_CRAGI, K1R5Y2_CRAGI	R7TU37_CAPTE	A0A0B6VH87_LOTGI, V4B9I8_LOTGI	A0A6J8AWT6_MYTCO, A0A6J8EYL3_MYTCO	A0A165USH4_OWEFU, A0A8J1U2Q5_OWEFU			
OG0000041	A0A8W8IBB5_CRAGI, A0A8W8IBB7_CRAGI, A0A8W8IBC2_CRAGI, A0A8W8ICT9_CRAGI, A0A8W8ICU4_CRAGI, K1QVP2_CRAGI	R7TL21_CAPTE	A0A0B6VNG0_LOTGI, V4ACH7_LOTGI	A0A6J8CBE3_MYTCO	A0A8J1TUD3_OWEFU			
OG0000042	A0A8W8IG58_CRAGI, K1RAP6_CRAGI	C4MK42_CAPTE, R7TD58_CAPTE	V4A7Q4_LOTGI	A0A6J8CIT0_MYTCO	A0A8J1T6R3_OWEFU, A0A8J1XEH4_OWEFU	Pdum_DN83362_c0_g1_i12.p1^	Pele_DN144074_c0_g1_i7.p1^	A0A812B373_SEPPH
OG0000043	A0A8W8JWH0_CRAGI, A0A8W8JWV0_CRAGI, A0A8W8K0G0_CRAGI, K1Q9D5_CRAGI, K1QV62_CRAGI	X1ZZA7_CAPTE	V3YXS2_LOTGI	A0A6J8AZP6_MYTCO	A0A8J1Y7V5_OWEFU	Pdum_DN73679_c0_g1_i2.p1^, Pdum_DN91323_c1_g1_i1.p1^		
OG0000044	A0A8W8K5F1_CRAGI, A0A8W8K5L3_CRAGI, A0A8W8K987_CRAGI, K1QCX7_CRAGI	R7T4R6_CAPTE	A0A0B6VLK3_LOTGI, V3ZXV0_LOTGI	A0A6J8C331_MYTCO	A0A8J1UNW8_OWEFU, A0A8S4PLQ3_OWEFU			A0A812BER8_SEPPH
OG0000045	A0A8W8KX35_CRAGI, K1QXA8_CRAGI	Q2FBJ0_CAPTE, R7TXI6_CAPTE	V3ZLP8_LOTGI, V4B4D7_LOTGI	A0A6J8AUN1_MYTCO, A0A6J8AZ87_MYTCO	A0A165USC6_OWEFU, A0A8J1XM42_OWEFU		Pele_DN142207_c2_g1_i18.p1^	
OG0000046	A0A8W8MTT5_CRAGI, A0A8W8MYN2_CRAGI, A0A8W8N1H0_CRAGI, A0A8W8N4R1_CRAGI, K1QFQ0_CRAGI	B6RFX4_CAPTE, R7TK21_CAPTE	V4AZ15_LOTGI	A0A6J8EY74_MYTCO	A0A8J1U8H8_OWEFU	Pdum_DN80119_c0_g1_i2.p1^		
OG0000047	A0A8W8MYN7_CRAGI, K1QNR4_CRAGI	B6RFX5_CAPTE, R7TDR5_CAPTE, R7TDU3_CAPTE	V4AG06_LOTGI	A0A6J8EWN4_MYTCO	A0A8J1U9N6_OWEFU	Pdum_DN84301_c0_g1_i2.p1^	Pele_DN141396_c6_g3_i8.p1^	A0A812DPY5_SEPPH
OG0000048	A0A8W8HTU2_CRAGI, A0A8W8HU29_CRAGI, K1R0H9_CRAGI	C4MK37_CAPTE, R7TY93_CAPTE	V4BYI6_LOTGI	A0A6J8ENB2_MYTCO	A0A165US97_OWEFU	Pdum_DN83667_c1_g1_i9.p1^	Pele_DN155681_c5_g2_i1.p1^	
OG0000049	A0A8W8IXU5_CRAGI, K1R770_CRAGI	R7U019_CAPTE	V3Z6R3_LOTGI	A0A6J8DUS0_MYTCO	A0A8J1XHJ6_OWEFU, A0A8S4NSB6_OWEFU	Pdum_DN74981_c0_g1_i2.p1^	Pele_DN160834_c0_g1_i5.p1^	A0A812DM15_SEPPH
OG0000050	A0A8W8L1U9_CRAGI, A0A8W8L5S3_CRAGI, K1PGW7_CRAGI	Q2FBI9_CAPTE, R7U4M8_CAPTE, R7V8P0_CAPTE	V3ZSK0_LOTGI	A0A6J8AUZ8_MYTCO	A0A8J1TJB3_OWEFU		Pele_DN153336_c2_g2_i3.p1^	
OG0000051	A0A8W8MXX7_CRAGI, A0A8W8N621_CRAGI, K1QDG5_CRAGI	R7UP51_CAPTE	V4B5G4_LOTGI	A0A6J8D1U5_MYTCO, A0A6J8D2E6_MYTCO	A0A8J1XQF8_OWEFU, A0A8S4N0G9_OWEFU		Pele_DN158505_c0_g1_i1.p1^	
OG0000052	A0A8W8IPJ6_CRAGI, K1PPR5_CRAGI	C4MLF2_CAPTE, R7TCH5_CAPTE	V3ZL15_LOTGI	A0A6J8EFH5_MYTCO	A0A8J1T5Z3_OWEFU	Pdum_DN81108_c0_g1_i3.p1^	Pele_DN150624_c0_g4_i3.p1^	
OG0000053	A0A8W8IW65_CRAGI, K1R041_CRAGI	C4MLF1_CAPTE, R7TTZ4_CAPTE	V4C5P1_LOTGI	A0A6J8EZ06_MYTCO	A0A8J1XFX1_OWEFU	Pdum_DN72621_c0_g1_i2.p1^	Pele_DN154574_c0_g1_i7.p1^	
OG0000054	A0A8W8K4K0_CRAGI, A0A8W8K796_CRAGI, A0A8W8KAS8_CRAGI, K1QIJ6_CRAGI	R7UMJ1_CAPTE	V3ZB50_LOTGI	A0A6J8AVS3_MYTCO	A0A8J1TND9_OWEFU	Pdum_DN78247_c0_g1_i1.p1^		
OG0000055	A0A8W8M0S5_CRAGI, A0A8W8M2T1_CRAGI, A0A8W8M3U2_CRAGI, K1PJF6_CRAGI, K1PYP9_CRAGI		V4ALV7_LOTGI, V4AQ16_LOTGI	A0A6J8D3N8_MYTCO, A0A6J8DWV1_MYTCO				
