Orthogroup	homeo_mcor	homeo_ctel
OG0000023	A0A6J8CQJ4_MYTCO, A0A6J8CS02_MYTCO	R7VCA4_CAPTE
OG0000024	A0A6J8A9D3_MYTCO	B6RFY1_CAPTE, R7UM68_CAPTE
OG0000025	A0A6J8D8H3_MYTCO	R7UVI0_CAPTE, R7UP28_CAPTE
OG0000026	A0A6J8DYQ0_MYTCO	R7UC46_CAPTE
OG0000029	A0A6J8BVE3_MYTCO, A0A6J8BWE0_MYTCO, A0A6J8BU55_MYTCO	R7V0S4_CAPTE
OG0000029	A0A6J8A5C1_MYTCO, A0A6J8A4J2_MYTCO	R7TZ85_CAPTE, R7TQQ8_CAPTE, R7U1J4_CAPTE, R7UX02_CAPTE
OG0000031	A0A6J8EJZ7_MYTCO, A0A6J8EIY5_MYTCO	R7TFZ7_CAPTE
OG0000032	A0A6J8C463_MYTCO	R7TUB2_CAPTE
OG0000033	A0A6J8DTJ6_MYTCO	C4MLF0_CAPTE, R7T8C3_CAPTE
OG0000034	A0A6J8C2J9_MYTCO	C4MLF3_CAPTE, R7UCX5_CAPTE
OG0000035	A0A6J8CQA8_MYTCO	R7UAK3_CAPTE, R7U2Q3_CAPTE, R7UAU5_CAPTE
OG0000037	A0A6J8EMB0_MYTCO	R7UTJ6_CAPTE
OG0000038	A0A6J8ENW5_MYTCO, A0A6J8EPC6_MYTCO	R7TQQ6_CAPTE
OG0000040	A0A6J8EYL3_MYTCO, A0A6J8AWT6_MYTCO	R7TU37_CAPTE
OG0000041	A0A6J8CBE3_MYTCO	R7TL21_CAPTE
OG0000042	A0A6J8CIT0_MYTCO	R7TD58_CAPTE, C4MK42_CAPTE
OG0000043	A0A6J8AZP6_MYTCO	X1ZZA7_CAPTE
OG0000044	A0A6J8C331_MYTCO	R7T4R6_CAPTE
OG0000045	A0A6J8AUN1_MYTCO, A0A6J8AZ87_MYTCO	R7TXI6_CAPTE, Q2FBJ0_CAPTE
OG0000046	A0A6J8EY74_MYTCO	R7TK21_CAPTE, B6RFX4_CAPTE
OG0000047	A0A6J8EWN4_MYTCO	R7TDU3_CAPTE, B6RFX5_CAPTE, R7TDR5_CAPTE
OG0000048	A0A6J8ENB2_MYTCO	C4MK37_CAPTE, R7TY93_CAPTE
OG0000049	A0A6J8DUS0_MYTCO	R7U019_CAPTE
OG0000050	A0A6J8AUZ8_MYTCO	Q2FBI9_CAPTE, R7U4M8_CAPTE, R7V8P0_CAPTE
OG0000051	A0A6J8D1U5_MYTCO, A0A6J8D2E6_MYTCO	R7UP51_CAPTE
OG0000052	A0A6J8EFH5_MYTCO	R7TCH5_CAPTE, C4MLF2_CAPTE
OG0000053	A0A6J8EZ06_MYTCO	C4MLF1_CAPTE, R7TTZ4_CAPTE
OG0000054	A0A6J8AVS3_MYTCO	R7UMJ1_CAPTE
OG0000056	A0A6J8A8V3_MYTCO	R7UAI4_CAPTE, B6RFY2_CAPTE
OG0000057	A0A6J8BQG6_MYTCO	R7TGN1_CAPTE, R7TGD7_CAPTE
OG0000058	A0A6J8ABZ2_MYTCO	R7UC57_CAPTE
OG0000059	A0A6J8DVH7_MYTCO	R7UNJ2_CAPTE
OG0000060	A0A6J8B2W8_MYTCO	R7UDF2_CAPTE, C4MK43_CAPTE
OG0000061	A0A6J8DIY8_MYTCO	R7TJG0_CAPTE
OG0000062	A0A6J8AC99_MYTCO	R7UWA1_CAPTE
OG0000063	A0A6J8BAF2_MYTCO	R7TI74_CAPTE, R7VCX8_CAPTE
OG0000064	A0A6J8BRJ0_MYTCO	Q09VU4_CAPTE, R7TJF1_CAPTE
OG0000066	A0A6J8AVM2_MYTCO	Q2FA45_CAPTE, R7TBA9_CAPTE
OG0000067	A0A6J8EU43_MYTCO	R7TLA0_CAPTE, B6RFX3_CAPTE
OG0000068	A0A6J8EUF3_MYTCO	B6RFX7_CAPTE, R7TK28_CAPTE
OG0000069	A0A6J8DU24_MYTCO	R7UDP9_CAPTE
OG0000070	A0A6J8CAG2_MYTCO	R7TC57_CAPTE
OG0000071	A0A6J8E6J6_MYTCO	R7TTE4_CAPTE
OG0000072	A0A6J8CGL6_MYTCO	R7UX36_CAPTE, R7TQE4_CAPTE, R7UP44_CAPTE
OG0000073	A0A6J8D4P7_MYTCO	R7UK02_CAPTE
OG0000074	A0A6J8DNQ5_MYTCO	R7VJ71_CAPTE
OG0000075	A0A6J8D1U8_MYTCO	R7TRL6_CAPTE
OG0000076	A0A6J8EZB9_MYTCO	R7U6M3_CAPTE
OG0000077	A0A6J8B0V2_MYTCO	R7UUL8_CAPTE
OG0000078	A0A6J8C5Y5_MYTCO	R7UZM9_CAPTE
OG0000079	A0A6J8EFG0_MYTCO, A0A6J8ECG1_MYTCO	C4MLE9_CAPTE
OG0000080	A0A6J8C7H5_MYTCO	R7V240_CAPTE
OG0000081	A0A6J8CYK6_MYTCO	R7U7Y9_CAPTE
OG0000082	A0A6J8D1Q7_MYTCO	R7VCI3_CAPTE
OG0000083	A0A6J8EYX5_MYTCO	R7TD78_CAPTE
OG0000084	A0A6J8D9V9_MYTCO	R7VEW7_CAPTE, R7UQR4_CAPTE
OG0000085	A0A6J8CP64_MYTCO	R7T959_CAPTE
OG0000090	A0A6J8BXD5_MYTCO	R7TS59_CAPTE
OG0000093	A0A6J8BBK9_MYTCO	R7TGS1_CAPTE
OG0000101	A0A6J8DHC6_MYTCO	R7TT64_CAPTE
