Orthogroup	homeo_pdum	homeo_cgig
OG0000020	Pdum_DN77586_c0_g1_i9.p1^	K1QLY6_CRAGI, A0A8W8IV11_CRAGI, A0A8W8ITK7_CRAGI, A0A8W8IVV5_CRAGI, A0A8W8ITN2_CRAGI, A0A8W8IX86_CRAGI
OG0000021	Pdum_DN80764_c1_g1_i2.p1^	A0A8W8KZY7_CRAGI, K1PZT1_CRAGI, A0A8W8KUA3_CRAGI, A0A8W8KU68_CRAGI
OG0000022	Pdum_DN68407_c0_g1_i7.p1^	K1R6C9_CRAGI, A0A8W8LDK7_CRAGI, K1R014_CRAGI, A0A8W8LJK1_CRAGI, A0A8W8LF54_CRAGI
OG0000023	Pdum_DN89526_c4_g1_i2.p1^	K1RMV0_CRAGI, A0A8W8MC14_CRAGI
OG0000024	Pdum_DN92058_c1_g1_i2.p1^	A0A8W8MYT7_CRAGI, A0A8W8N1P2_CRAGI, K1PZI6_CRAGI
OG0000025	Pdum_DN66937_c0_g1_i1.p1^	A0A8W8NBC0_CRAGI, A0A8W8NE43_CRAGI, A0A8W8NIK3_CRAGI, A0A8W8NEB1_CRAGI, K1PYG5_CRAGI
OG0000027	Pdum_DN90853_c3_g1_i5.p1^	A0A8W8N5P0_CRAGI
OG0000030	Pdum_DN79894_c0_g1_i15.p1^	K1QXI0_CRAGI, A0A8W8KA18_CRAGI
OG0000031	Pdum_DN83076_c0_g2_i1.p1^	A0A8W8HLC1_CRAGI
OG0000032	Pdum_DN67112_c0_g1_i1.p1^	K1PV30_CRAGI, A0A8W8I6I3_CRAGI
OG0000034	Pdum_DN75781_c0_g1_i2.p1^	K1PJ20_CRAGI, A0A8W8J227_CRAGI, A0A8W8IYA2_CRAGI
OG0000036	Pdum_DN85739_c0_g1_i1.p1^	K1REH4_CRAGI, A0A8W8KDY3_CRAGI, A0A8W8KK48_CRAGI
OG0000037	Pdum_DN50323_c0_g1_i1.p1^, Pdum_DN91429_c7_g4_i1.p1^	A0A8W8KL69_CRAGI, A0A8W8KM51_CRAGI, K1PV68_CRAGI
OG0000042	Pdum_DN83362_c0_g1_i12.p1^	A0A8W8IG58_CRAGI, K1RAP6_CRAGI
OG0000043	Pdum_DN91323_c1_g1_i1.p1^	A0A8W8K0G0_CRAGI, A0A8W8JWH0_CRAGI, K1Q9D5_CRAGI
OG0000043	Pdum_DN73679_c0_g1_i2.p1^	K1QV62_CRAGI, A0A8W8JWV0_CRAGI
OG0000046	Pdum_DN80119_c0_g1_i2.p1^	A0A8W8N1H0_CRAGI, A0A8W8MTT5_CRAGI, A0A8W8N4R1_CRAGI, K1QFQ0_CRAGI, A0A8W8MYN2_CRAGI
OG0000047	Pdum_DN84301_c0_g1_i2.p1^	A0A8W8MYN7_CRAGI, K1QNR4_CRAGI
OG0000048	Pdum_DN83667_c1_g1_i9.p1^	K1R0H9_CRAGI, A0A8W8HU29_CRAGI, A0A8W8HTU2_CRAGI
OG0000049	Pdum_DN74981_c0_g1_i2.p1^	K1R770_CRAGI, A0A8W8IXU5_CRAGI
OG0000052	Pdum_DN81108_c0_g1_i3.p1^	A0A8W8IPJ6_CRAGI, K1PPR5_CRAGI
OG0000053	Pdum_DN72621_c0_g1_i2.p1^	K1R041_CRAGI, A0A8W8IW65_CRAGI
OG0000054	Pdum_DN78247_c0_g1_i1.p1^	A0A8W8K796_CRAGI, K1QIJ6_CRAGI, A0A8W8K4K0_CRAGI, A0A8W8KAS8_CRAGI
OG0000057	Pdum_DN81728_c0_g1_i1.p1^	A0A8W8MW41_CRAGI, K1PP90_CRAGI
OG0000058	Pdum_DN80655_c0_g3_i2.p1^	A0A8W8N9G9_CRAGI, K1Q1H4_CRAGI
OG0000059	Pdum_DN89862_c1_g2_i3.p1^	A0A8W8NAJ6_CRAGI, K1RC49_CRAGI
OG0000066	Pdum_DN75939_c0_g1_i5.p1^	A0A8W8L000_CRAGI, K1PVZ4_CRAGI
OG0000067	Pdum_DN81110_c0_g1_i4.p1^	K1QUT3_CRAGI, A0A8W8MTT0_CRAGI
OG0000069	Pdum_DN84796_c0_g1_i12.p1^	A0A8W8N8W3_CRAGI, K1PW35_CRAGI
OG0000071	Pdum_DN91293_c5_g1_i4.p1^	K1RYX0_CRAGI, A0A8W8NNK0_CRAGI
OG0000073	Pdum_DN66869_c0_g1_i1.p1^	K1QS33_CRAGI
OG0000074	Pdum_DN87519_c0_g1_i4.p1^	K1QUN5_CRAGI
OG0000080	Pdum_DN74284_c0_g1_i3.p1^	K1RSM0_CRAGI
